task,weights,group,current_joint_RMSE_radians,gripper_RMSE,gripper_sign_accuracy,joint_RMSE_radians,joint_abs_error_p95_radians,windows
drawer_exchange,ema,all,0.0013201588299125433,0.44015589356422424,0.9513784461152882,0.0016934415325522423,0.0029567360877990703,252
drawer_exchange,ema,grip_transition_neighborhood,0.0015322341350838542,0.5461039543151855,0.9251543209876543,0.0017260152380913496,0.0031171977519989,162
drawer_exchange,ema,other,0.0008086773450486362,0.0006658460479229689,1.0,0.001631326973438263,0.002476382255554194,90
drawer_exchange,model,all,0.00131618557497859,0.44015398621559143,0.9513784461152882,0.0016945345560088754,0.002942609786987304,252
drawer_exchange,model,grip_transition_neighborhood,0.0015286017442122102,0.5461015701293945,0.9251543209876543,0.0017286528600379825,0.0031048506498336783,162
drawer_exchange,model,other,0.0008028966258279979,0.0006501863244920969,1.0,0.001629387610591948,0.0024842500686645475,90
two_block_sort,ema,all,0.001062294584698975,0.4245833158493042,0.9548058561425843,0.001704205758869648,0.0024646282196044878,199
two_block_sort,ema,grip_transition_neighborhood,0.0010729641653597355,0.5602739453315735,0.9212962962962963,0.002040883991867304,0.002580940723419182,108
two_block_sort,ema,other,0.0010494912276044488,0.1302274763584137,0.9957567185289957,0.0011676584836095572,0.002240088582038875,91
two_block_sort,model,all,0.00104674999602139,0.42460229992866516,0.9548058561425843,0.0016900765476748347,0.00244145393371582,199
two_block_sort,model,grip_transition_neighborhood,0.0010648865718394518,0.5603006482124329,0.9212962962962963,0.002029300667345524,0.0025626014918088877,108
two_block_sort,model,other,0.001024808851070702,0.1302248239517212,0.9957567185289957,0.0011465055868029594,0.0021943569183349586,91
buffer_swap,ema,all,0.0007802377222105861,0.3116353452205658,0.9755366949575637,0.002181172138080001,0.0020477771759033203,253
buffer_swap,ema,grip_transition_neighborhood,0.0008776059839874506,0.38742202520370483,0.9621913580246914,0.002333679236471653,0.002098488807678221,162
buffer_swap,ema,other,0.000566926144529134,0.0006855984684079885,1.0,0.0018695822218433022,0.0018630057573318479,91
buffer_swap,model,all,0.0007802202017046511,0.3116299510002136,0.9755366949575637,0.002187721896916628,0.0020477324724197388,253
buffer_swap,model,grip_transition_neighborhood,0.0008774898014962673,0.3874153196811676,0.9621913580246914,0.002338933292776346,0.002096934616565704,162
buffer_swap,model,other,0.0005671791732311249,0.0006914790137670934,1.0,0.0018792031332850456,0.0018435955047607386,91
unstack_sort,ema,all,0.0005822812672704458,0.4052400588989258,0.9588347055098163,0.0015300142113119364,0.0014255642890930167,200
unstack_sort,ema,grip_transition_neighborhood,0.0006809087935835123,0.5393354892730713,0.9270833333333334,0.0019402357283979654,0.0015665531158447262,108
unstack_sort,ema,other,0.0004390889953356236,0.10564394295215607,0.9972027972027973,0.0007878531469032168,0.0011584579944610603,92
unstack_sort,model,all,0.0005832010065205395,0.4083663523197174,0.9582013932868905,0.0015430488856509328,0.0014165878295898434,200
unstack_sort,model,grip_transition_neighborhood,0.0006827939068898559,0.5436277985572815,0.9259259259259259,0.0019572130404412746,0.0015616953372955308,108
unstack_sort,model,other,0.0004383054911158979,0.10564467310905457,0.9972027972027973,0.0007932304870337248,0.0011540412902832035,92
tray_pack,ema,all,0.0010389203671365976,0.43609657883644104,0.9522597071928708,0.0014105510199442506,0.0021466493606567376,199
tray_pack,ema,grip_transition_neighborhood,0.001237021293491125,0.5802667737007141,0.9155092592592593,0.0016350167570635676,0.0023171216249465933,108
tray_pack,ema,other,0.0007377410656772554,0.10541281849145889,0.9971711456859972,0.001074345549568534,0.0019569186493754377,91
tray_pack,model,all,0.001034738845191896,0.43612557649612427,0.9522597071928708,0.0014194721588864923,0.0021600574254989615,199
tray_pack,model,grip_transition_neighborhood,0.001231590867973864,0.5803043246269226,0.9155092592592593,0.0016489780973643064,0.0023071393370628353,108
tray_pack,model,other,0.0007356693968176842,0.10542650520801544,0.9971711456859972,0.001074378495104611,0.0019483089447021467,91
