stage,task,method,policy_id,model,effort,source_request,source_request_sha256,bundled_request_contract,selected_contract_sha256
policy_design,drawer_exchange,SinglePrior_6_xhigh,SinglePrior_6_xhigh,gpt-6-astra,xhigh,runs/exp2/single_policy_astra_xhigh/drawer_exchange/policy/design/api/0001.request.json,585bacadd9193f85cde5a5b2535afa37257685aa2492d2e9b499fb74bcc1a11d,prompts/4507f4af8c10eb8053d42145ce636c8b0d11e5a7e5d846d7b930579ef185c9d8.json,4507f4af8c10eb8053d42145ce636c8b0d11e5a7e5d846d7b930579ef185c9d8
policy_design,drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h01,gpt-5.5,high,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01/design/api/0001.request.json,66ae80e6679308f38fbd48a6432b81a44a111f7306cb740e2ae3e46827120a17,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h02,gpt-5.5,high,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02/design/api/0001.request.json,93ef8759e60dc1310b65b8a6eff165a0f86b40b7f7b6a741ac628771ba6a538c,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h03,gpt-5.5,high,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03/design/api/0001.request.json,ef31369034c163ae9471b2f7d124ba65d63b58601b6236a4273114b3e44fcfeb,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h01,gpt-5.5,high,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01/design/api/0001.request.json,29157879b4c560f46bd995dc66807c3a194f88458a5683851f1feda992ec7548,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h02,gpt-5.5,high,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02/design/api/0001.request.json,a9abc3aef96538c364f98236d7d703dff13b14d7c8436386d8f332eb376a819d,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h03,gpt-5.5,high,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03/design/api/0001.request.json,d826a65ebb9ae49bfa600374f4a9680af7faf8b0eb717eed778bf708a5ffddd3,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,red_transport_place_pad__h01,gpt-5.5,high,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01/design/api/0001.request.json,4be997f8057e380b2ba3d58dc8ab3d1c883f0ca0ee1e650a4be53943f696d29d,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,red_transport_place_pad__h02,gpt-5.5,high,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/design/api/0001.request.json,8a9a587fc73c87f5eb96b6e75a4d41af47ac47074abd21aca6a0565a9f6304cb,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,red_transport_place_pad__h03,gpt-5.5,high,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_03/design/api/0001.request.json,255522469ae4b31dcd9cc45ab104b8b7d195a04d27113edffb08ca722dec5a65,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_approach_grasp_lift__h01,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_approach_grasp_lift/heuristic_01/design/api/0001.request.json,b94335b478b50472da31ad90dadd3b8db1d7b905559eb027ea08e8f6bb62c6b7,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_approach_grasp_lift__h02,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_approach_grasp_lift/heuristic_02/design/api/0001.request.json,9c681e2da95d495edf55ea0414ff93ebe0e652b3fa695f15dc8ff46f92b12724,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_approach_grasp_lift__h03,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_approach_grasp_lift/heuristic_03/design/api/0001.request.json,e20a56823afc21d658ef6441df69cc0bec9e669409dc8df15169cf6fce3f4519,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_transport_to_drawer__h01,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_transport_to_drawer/heuristic_01/design/api/0001.request.json,58121578f188ff407f6237873d78b65327cc48b18e41b1e9de8bb8931d5f48b5,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_transport_to_drawer__h02,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_transport_to_drawer/heuristic_02/design/api/0001.request.json,9ee48095514e0c6aa0947d2a2fc7d58e92a43155c3bee6a439a216164fa8174a,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_transport_to_drawer__h03,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_transport_to_drawer/heuristic_03/design/api/0001.request.json,b5c027d32f010fdd79f905564a8ed1123b61f36720edd4fbead9a092964b8106,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_release_retreat_complete__h01,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_release_retreat_complete/heuristic_01/design/api/0001.request.json,64574de806386edc211100ad1316d98f36a2315decfa681cc1ac21cb6ce46868,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_release_retreat_complete__h02,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_release_retreat_complete/heuristic_02/design/api/0001.request.json,cc5ffedf93498d871f9ef59522ed40097eb8abfd39d89b0acb51117aecc16409,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_5_5_high,blue_release_retreat_complete__h03,gpt-5.5,high,runs/exp2/M1_initial_test/policies/blue_release_retreat_complete/heuristic_03/design/api/0001.request.json,f045a97a17f69defcd96324c3068720423afdd5d62114cd6d17198a8664eb2a0,prompts/4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96.json,4db68cb524fce6027bbb8fce6dd7fc80384c1f7ed8f546e7aa4c91466a077e96
policy_design,drawer_exchange,APPL_6_xhigh,open_access__h01,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/open_access/heuristic_01/design/api/0001.request.json,85a67c325089ab5a0b308b0952043d948330e76af4722732905086dbd3d47a7f,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,drawer_exchange,APPL_6_xhigh,open_access__h02,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/open_access/heuristic_02/design/api/0001.request.json,34be72dd492bb6836d2fd5d918f2dc1fc598c9d0f6098c591dfc6bf55fa36d82,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,drawer_exchange,APPL_6_xhigh,open_access__h03,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/open_access/heuristic_03/design/api/0001.request.json,ec2d846c51de854c9a818a8983a1431d789f1b1d55660a1c65d41592f0579f5f,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,drawer_exchange,APPL_6_xhigh,evacuate_red__h01,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/evacuate_red/heuristic_01/design/api/0001.request.json,02f812eb1169288031feb69b6fa9ac5299ad26a7b7c6bd639b8428da0b8b2dec,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,drawer_exchange,APPL_6_xhigh,evacuate_red__h02,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/evacuate_red/heuristic_02/design/api/0001.request.json,8bfcda36d45358807a6bdfd5692358ec510acbc145d08127be7540b27d5bdcae,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,drawer_exchange,APPL_6_xhigh,evacuate_red__h03,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/evacuate_red/heuristic_03/design/api/0001.request.json,21f42b83a7626774b82c36be8996c47e9036e6c06075f491e58a4186113733e2,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,drawer_exchange,APPL_6_xhigh,insert_blue__h01,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/insert_blue/heuristic_01/design/api/0001.request.json,aaf13b2f4b7981c8240cfeaf2a17b3cfa29d48dd6367e019cc71e37f63bd68ae,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
policy_design,drawer_exchange,APPL_6_xhigh,insert_blue__h02,gpt-6-astra,xhigh,runs/exp2/M1_astra_xhigh/drawer_exchange/policies/insert_blue/heuristic_02/design/api/0001.request.json,eb751cf6076a2ce9fddb0fbfd35dca1aab3fbc963beddf86dc384a37fd1627ff,prompts/5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc.json,5395dc21fa8f79e6348e101b345d250f3590b1a1b5428f14377a7e0b4e5e11bc
