task,condition,method,completed,success,failures,failed_without_red_3cm_rise,failed_without_blue_3cm_rise,failed_with_100_narrow_width_states,normalized_state_max_median,normalized_state_max_p90,normalized_state_max_largest
drawer_exchange,ID,naive_DP,30,15,15,10,15,15,1.428849581030851,1.6575887252369286,6.184950081776784
drawer_exchange,ID,SinglePrior_6_xhigh,30,22,8,0,1,0,1.1270770613929253,2.1235272216417638,2.808691300873371
drawer_exchange,ID,APPL_5_5_high,30,29,1,1,1,0,1.5819865966321203,4.830579855528684,26.98349874493726
drawer_exchange,ID,APPL_6_xhigh,30,8,22,0,22,8,4.421214855009421,9.959024080093142,19.463695825130433
drawer_exchange,OOD,naive_DP,30,0,30,25,29,28,1.428849581030851,2.5674787193937054,14.514032517761224
drawer_exchange,OOD,SinglePrior_6_xhigh,30,1,29,22,29,24,1.428849581030851,3.3210953893770916,5.567307909226403
drawer_exchange,OOD,APPL_5_5_high,30,14,16,14,16,7,15.441011148927593,21.58839067719245,22.61241406692966
drawer_exchange,OOD,APPL_6_xhigh,30,7,23,15,22,13,6.383986331923111,13.679997713966014,19.05459440192388
two_block_sort,ID,naive_DP,30,1,29,19,29,26,2.6812974859931775,2.8016332833093167,6.3363292832435905
two_block_sort,ID,SinglePrior_6_xhigh,30,0,30,21,30,2,2.6812974859931775,2.6832555034807624,2.861432081373044
two_block_sort,ID,APPL_5_5_high,30,23,7,1,3,6,2.2188167815327766,16.834805840030203,22.68565215729927
two_block_sort,ID,APPL_6_xhigh,30,28,2,0,0,0,1.353835149102329,6.915001560098611,13.9481392519296
two_block_sort,OOD,naive_DP,30,0,30,27,30,26,2.6812974859931775,2.8943358995904487,3.771427995571702
two_block_sort,OOD,SinglePrior_6_xhigh,30,0,30,27,30,2,2.5920006176827224,2.6812974859931775,2.6812974859931775
two_block_sort,OOD,APPL_5_5_high,30,4,26,13,22,26,6.83355433275382,18.754557456973473,22.035801486398608
two_block_sort,OOD,APPL_6_xhigh,30,18,12,1,5,6,4.491042723983238,13.88505626937591,17.284667010214662
buffer_swap,ID,naive_DP,30,0,30,17,24,30,2.680733718520702,2.680733718520702,2.7732703752045973
buffer_swap,ID,SinglePrior_6_xhigh,30,29,1,0,0,0,1.046221407157181,1.1339063963902987,1.1988357315115032
buffer_swap,ID,APPL_5_5_high,29,28,1,0,0,1,1.0519139048805939,1.3858412402450289,14.762486748541564
buffer_swap,ID,APPL_6_xhigh,30,30,0,0,0,0,1.1902497240069878,1.736351834745789,2.1641717760983985
buffer_swap,OOD,naive_DP,30,0,30,28,30,29,2.680733718520702,4.671140104168625,6.914883807909993
buffer_swap,OOD,SinglePrior_6_xhigh,30,1,29,11,22,22,2.680733718520702,3.736782328908948,6.3284769046992055
buffer_swap,OOD,APPL_5_5_high,30,13,17,6,16,14,3.122816570384825,13.202845080376683,14.406205712231019
buffer_swap,OOD,APPL_6_xhigh,30,8,22,9,14,20,3.300973943448045,12.31719670433904,13.977917335697414
unstack_sort,ID,naive_DP,30,1,29,6,28,27,3.9061387103738276,4.466795122657909,7.763202421164766
unstack_sort,ID,SinglePrior_6_xhigh,30,30,0,0,0,0,1.014410215295269,1.0703077019586287,1.3265972454045207
unstack_sort,ID,APPL_5_5_high,30,29,1,0,0,1,1.1544604234744185,1.4275579793343414,8.92585962457898
unstack_sort,ID,APPL_6_xhigh,30,30,0,0,0,0,1.078383611721263,1.2528430326360611,1.275158219282964
unstack_sort,OOD,naive_DP,30,0,30,24,29,30,2.6765617866976954,3.696686244019216,5.650587756143623
unstack_sort,OOD,SinglePrior_6_xhigh,30,12,18,3,16,7,1.4900470943010453,2.6765617866976954,2.6765617866976954
unstack_sort,OOD,APPL_5_5_high,30,15,15,14,14,15,2.7994498257586233,7.372195151300047,8.520167411417516
unstack_sort,OOD,APPL_6_xhigh,30,17,13,9,13,13,2.6765617866976954,4.275615182048542,6.097734410658841
tray_pack,ID,naive_DP,30,0,30,28,30,29,2.6819207651458403,2.6819207651458403,21.211548043547566
tray_pack,ID,SinglePrior_6_xhigh,30,29,1,0,1,1,1.120218244899223,1.8472847138181867,2.6819207651458403
tray_pack,ID,APPL_5_5_high,30,21,9,0,6,9,3.271829170550953,11.641948802686306,22.26239805907432
tray_pack,ID,APPL_6_xhigh,30,28,2,1,2,2,1.1674543539872522,2.158070541317062,5.639201748158293
tray_pack,OOD,naive_DP,30,0,30,30,30,30,2.6819207651458403,2.6819207651458403,2.6819207651458403
tray_pack,OOD,SinglePrior_6_xhigh,30,2,28,3,26,19,2.6819207651458403,2.6819207651458403,2.6819207651458403
tray_pack,OOD,APPL_5_5_high,30,4,26,18,25,26,7.374667141461467,16.121358542038777,42.68778846879578
tray_pack,OOD,APPL_6_xhigh,30,23,7,0,5,5,2.1271248906917584,8.147727696283393,31.19207980409306
