completed,condition,method,planned,rate,success,success_by,task,unknown,wilson95
30,ID,naive_DP,30,0.5,15,"{""1500"": 15, ""3000"": 15, ""5000"": 15}",drawer_exchange,0,"[0.33154125640533766, 0.6684587435946623]"
30,ID,APPL_5_5_high,30,0.9666666666666667,29,"{""1500"": 27, ""3000"": 28, ""5000"": 29}",drawer_exchange,0,"[0.8332960900859082, 0.9940914096183874]"
30,ID,SinglePrior_6_xhigh,30,0.7333333333333333,22,"{""1500"": 22, ""3000"": 22, ""5000"": 22}",drawer_exchange,0,"[0.555520383048111, 0.8581733668040368]"
30,ID,APPL_6_xhigh,30,0.26666666666666666,8,"{""1500"": 8, ""3000"": 8, ""5000"": 8}",drawer_exchange,0,"[0.14182663319596317, 0.4444796169518888]"
30,OOD,naive_DP,30,0.0,0,"{""1500"": 0, ""3000"": 0, ""5000"": 0}",drawer_exchange,0,"[0.0, 0.11351339317396876]"
30,OOD,APPL_5_5_high,30,0.4666666666666667,14,"{""1500"": 6, ""3000"": 12, ""5000"": 14}",drawer_exchange,0,"[0.30232388907699753, 0.638577003801267]"
30,OOD,SinglePrior_6_xhigh,30,0.03333333333333333,1,"{""1500"": 0, ""3000"": 1, ""5000"": 1}",drawer_exchange,0,"[0.005908590381612455, 0.16670390991409173]"
30,OOD,APPL_6_xhigh,30,0.23333333333333334,7,"{""1500"": 6, ""3000"": 7, ""5000"": 7}",drawer_exchange,0,"[0.11792388144489496, 0.40928326158122164]"
30,ID,naive_DP,30,0.03333333333333333,1,"{""1500"": 1, ""3000"": 1, ""5000"": 1}",two_block_sort,0,"[0.005908590381612455, 0.16670390991409173]"
30,ID,APPL_5_5_high,30,0.7666666666666667,23,"{""1500"": 22, ""3000"": 23, ""5000"": 23}",two_block_sort,0,"[0.5907167384187784, 0.8820761185551049]"
30,ID,SinglePrior_6_xhigh,30,0.0,0,"{""1500"": 0, ""3000"": 0, ""5000"": 0}",two_block_sort,0,"[0.0, 0.11351339317396876]"
30,ID,APPL_6_xhigh,30,0.9333333333333333,28,"{""1500"": 28, ""3000"": 28, ""5000"": 28}",two_block_sort,0,"[0.7867654163738308, 0.9815229762087295]"
30,OOD,naive_DP,30,0.0,0,"{""1500"": 0, ""3000"": 0, ""5000"": 0}",two_block_sort,0,"[0.0, 0.11351339317396876]"
30,OOD,APPL_5_5_high,30,0.13333333333333333,4,"{""1500"": 2, ""3000"": 4, ""5000"": 4}",two_block_sort,0,"[0.053096554840547455, 0.296813266820363]"
30,OOD,SinglePrior_6_xhigh,30,0.0,0,"{""1500"": 0, ""3000"": 0, ""5000"": 0}",two_block_sort,0,"[0.0, 0.11351339317396876]"
