task,method,skills,policies,assigned_unique_actions,excluded_actions,original_demonstrations,overlapping_actions,segments,semantic_heuristic_validity,skill_datasets,valid,manifest
drawer_exchange,APPL_5_5_high,6,18,12809,0,12,5220,72,hypotheses; not empirically validated,6,True,data/exp2/processed/M1_v2/manifest.json
drawer_exchange,APPL_6_xhigh,3,9,12809,0,12,6626,36,hypotheses; not empirically validated,3,True,data/exp2/scaleup_astra_xhigh/drawer_exchange/processed/manifest.json
two_block_sort,APPL_5_5_high,2,6,9237,0,12,3600,48,hypotheses; not empirically validated,2,True,data/exp2/scaleup/two_block_sort/processed/manifest.json
two_block_sort,APPL_6_xhigh,2,6,9237,0,12,4538,48,hypotheses; not empirically validated,2,True,data/exp2/scaleup_astra_xhigh/two_block_sort/processed/manifest.json
buffer_swap,APPL_5_5_high,3,9,12742,0,12,3600,36,hypotheses; not empirically validated,3,True,data/exp2/scaleup/buffer_swap/processed/manifest.json
buffer_swap,APPL_6_xhigh,3,9,12742,0,12,5832,36,hypotheses; not empirically validated,3,True,data/exp2/scaleup_astra_xhigh/buffer_swap/processed/manifest.json
unstack_sort,APPL_5_5_high,4,12,8729,0,12,3840,48,hypotheses; not empirically validated,4,True,data/exp2/scaleup/unstack_sort/processed/manifest.json
unstack_sort,APPL_6_xhigh,2,6,8729,0,12,4638,48,hypotheses; not empirically validated,2,True,data/exp2/scaleup_astra_xhigh/unstack_sort/processed/manifest.json
tray_pack,APPL_5_5_high,2,6,8897,0,12,2400,48,hypotheses; not empirically validated,2,True,data/exp2/scaleup/tray_pack/processed/manifest.json
tray_pack,APPL_6_xhigh,2,6,8897,0,12,4521,48,hypotheses; not empirically validated,2,True,data/exp2/scaleup_astra_xhigh/tray_pack/processed/manifest.json
