method,task,condition,succeeded,physical_budget_exhausted,agent_finished,interrupted
naive_DP,drawer_exchange,ID,15,15,,
naive_DP,drawer_exchange,OOD,,30,,
naive_DP,two_block_sort,ID,1,29,,
naive_DP,two_block_sort,OOD,,30,,
naive_DP,buffer_swap,ID,,30,,
naive_DP,buffer_swap,OOD,,30,,
naive_DP,unstack_sort,ID,1,29,,
naive_DP,unstack_sort,OOD,,30,,
naive_DP,tray_pack,ID,,30,,
naive_DP,tray_pack,OOD,,30,,
SinglePrior_6_xhigh,drawer_exchange,ID,22,8,,
SinglePrior_6_xhigh,drawer_exchange,OOD,1,29,,
SinglePrior_6_xhigh,two_block_sort,ID,,30,,
SinglePrior_6_xhigh,two_block_sort,OOD,,30,,
SinglePrior_6_xhigh,buffer_swap,ID,29,1,,
SinglePrior_6_xhigh,buffer_swap,OOD,1,29,,
SinglePrior_6_xhigh,unstack_sort,ID,30,,,
SinglePrior_6_xhigh,unstack_sort,OOD,12,18,,
SinglePrior_6_xhigh,tray_pack,ID,29,1,,
SinglePrior_6_xhigh,tray_pack,OOD,2,28,,
APPL_5_5_high,drawer_exchange,ID,29,,1,
APPL_5_5_high,drawer_exchange,OOD,14,,16,
APPL_5_5_high,two_block_sort,ID,23,,7,
APPL_5_5_high,two_block_sort,OOD,4,3,23,
APPL_5_5_high,buffer_swap,ID,28,1,,1
APPL_5_5_high,buffer_swap,OOD,13,,17,
APPL_5_5_high,unstack_sort,ID,29,,1,
APPL_5_5_high,unstack_sort,OOD,15,,15,
APPL_5_5_high,tray_pack,ID,21,,9,
APPL_5_5_high,tray_pack,OOD,4,,26,
APPL_6_xhigh,drawer_exchange,ID,8,,22,
APPL_6_xhigh,drawer_exchange,OOD,7,,23,
APPL_6_xhigh,two_block_sort,ID,28,,2,
APPL_6_xhigh,two_block_sort,OOD,18,,12,
APPL_6_xhigh,buffer_swap,ID,30,,,
APPL_6_xhigh,buffer_swap,OOD,8,,22,
APPL_6_xhigh,unstack_sort,ID,30,,,
APPL_6_xhigh,unstack_sort,OOD,17,,13,
APPL_6_xhigh,tray_pack,ID,28,,2,
APPL_6_xhigh,tray_pack,OOD,23,,7,
