task,trajectory_id,path,sha256,actions,observations
drawer_exchange,demo1000,data/exp2/demonstrations_v2/demo1000.json,58d911a45df1915e4a74c254caf6de4e202ead11d89ed69197de0b5f0c17fde5,1065,1066
drawer_exchange,demo1001,data/exp2/demonstrations_v2/demo1001.json,165f93f38197cd75050488a557609072e12ca0006771c36b72b90e8cae68f956,1077,1078
drawer_exchange,demo1002,data/exp2/demonstrations_v2/demo1002.json,8c43a8c1562f90c040f0570aa1dde013fad47bbef1f786ccf8ab2ba3d766136d,1063,1064
drawer_exchange,demo1003,data/exp2/demonstrations_v2/demo1003.json,01c617c320a46f6c3862737aad218921effe677e1630ab85e7a43d80e1fe082a,1066,1067
drawer_exchange,demo1004,data/exp2/demonstrations_v2/demo1004.json,bfa82b20e4971095967e9981400d145771890c2a55fff0568853e2d77acf3a22,1065,1066
drawer_exchange,demo1005,data/exp2/demonstrations_v2/demo1005.json,71eacabcb7799f216f03bb1e582e6aec3a42e83850c569b001de3cbc4e26778a,1070,1071
drawer_exchange,demo1006,data/exp2/demonstrations_v2/demo1006.json,4d2e5f38fd0c80ef267e9ae877f9d9e1b098325ac5da5aa769b0e9abeceef06b,1064,1065
drawer_exchange,demo1007,data/exp2/demonstrations_v2/demo1007.json,410c02b19c7511f551f3c69e21c88c7e386b4067ebfebc6c169e9b44e94cc930,1069,1070
drawer_exchange,demo1008,data/exp2/demonstrations_v2/demo1008.json,7c7641d622180d497137b4560cadf5a4497bf22c7ffb5a5aef785fe0a1f17cc3,1071,1072
drawer_exchange,demo1009,data/exp2/demonstrations_v2/demo1009.json,9ff9137a991b6a81fa0f9330449d359eeeeed398e225b1dbe22a449ea7b84d93,1065,1066
drawer_exchange,demo1010,data/exp2/demonstrations_v2/demo1010.json,867210d90fa09b282d5a6190209251c0b69d6e64b6cef2bcaea97951df57711f,1069,1070
drawer_exchange,demo1011,data/exp2/demonstrations_v2/demo1011.json,126c98245881a8ba6dde2da8707d8396d32d946fa4bbd62535b29d5eecc94eb7,1065,1066
two_block_sort,demo10000,data/exp2/scaleup/two_block_sort/demonstrations/demo10000.json,568b9d08ecc90c99a690c901ed0998fbd905af2ac4128f83b1f50e6e02ac77d0,773,774
two_block_sort,demo10001,data/exp2/scaleup/two_block_sort/demonstrations/demo10001.json,a014f7ae982315522efa47d5ef612d5eaad3a35fe6cbc089764bdd9e4bc26b91,765,766
two_block_sort,demo10002,data/exp2/scaleup/two_block_sort/demonstrations/demo10002.json,be5eebbed4274aef120b6a15cd8e6590077ad80e9ebea1780b42efda058dbe51,770,771
two_block_sort,demo10003,data/exp2/scaleup/two_block_sort/demonstrations/demo10003.json,5025face9e4992ab8b11c166ff77ade3f803c931bcf5a15ab7a35912121250d9,756,757
two_block_sort,demo10004,data/exp2/scaleup/two_block_sort/demonstrations/demo10004.json,bdd6f7d063ea869527924a4189ea815742386cb64f5e49e4eaa10a50d6fb9b3a,770,771
two_block_sort,demo10005,data/exp2/scaleup/two_block_sort/demonstrations/demo10005.json,10fe744977c2c8268b94942cef2437541ee8d1a060b332d7c2e5a06064f9b5c0,771,772
two_block_sort,demo10006,data/exp2/scaleup/two_block_sort/demonstrations/demo10006.json,c72efc95bb630ba4695d26a128099dba69a810344433803bb9238911939ff4cb,773,774
