task,condition,seed,method,success,steps,status,final,source_root,bundle_root,result_sha256,initial_sha256,trace_sha256,video,first_goal_steps,ever_goals,max_rise_from_initial_m,distinct_policies,invocation_count,generation_calls,API_finish,API_arguments_equal_execution,observed_bottleneck
two_block_sort,OOD,30000,APPL_6_xhigh,False,1786,agent_finished,"{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/APPL_GPT6_astra_xhigh/two_block_sort/OOD/30000,episodes/APPL_6_xhigh/two_block_sort/OOD/30000,b6d9051542d557543683187abdcc15cdd4e945ea0cdafae5fde3993dd53faa0d,9f06699d86efd8287197b2d26f440ab59276f5b97c54a58960ea384213f9daba,39b1824334a6e5db502d4a1ef58f1383cd594a04ee335510587c60673809b094,episodes/APPL_6_xhigh/two_block_sort/OOD/30000/replay.mp4,"{""blue_at_goal"": null, ""red_at_goal"": 354, ""success"": null}","{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}","{""red"": 0.2632880322635174, ""blue"": 0.31725136563181877}",5,17,23,"[{""file"": ""0023.response.json"", ""reason"": ""The task is incomplete. Red remains measured at its goal, but blue_at_goal is false: blue is at approximately (-0.2742, 0.1814, 0.2962) m, far above and outside its pad. Blue remains close to the TCP (0.0217 m) with narrow fingers, consistent with the maintained grasp. All three delivery variants were tested: h02 repeatedly drifted away in Y, h03 corrected X but hovered and lost Y alignment, and h01 restored Y but stalled at high elevation despite bounded extended continuation. A brief acquisition-h03 attempt to restore the demonstrated carrying state instead regressed in XY and was stopped. The documented overlap does not establish recovery from this displaced, atypical grasp, and I no longer have a credible supported route to placement using the available policies. Stopping honestly rather than claiming success or repeating stalled motions.""}]",True,blue_rose_but_goal_not_reached
buffer_swap,OOD,30100,APPL_6_xhigh,False,2305,agent_finished,"{""blue_at_goal"": true, ""red_at_goal"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/APPL_GPT6_astra_xhigh/buffer_swap/OOD/30100,episodes/APPL_6_xhigh/buffer_swap/OOD/30100,84bed6d07c0b325109f88bd02cbc55b2c40a6be93e4f1d9cf4696fcc91db6bd7,fc0646fbda651149b83197228a014cf1645ba98d039a19a4dfe0c9d38b73fa71,0786eed7f66456ef54a928584be408e05bfa13dec32c00072eaf6bd04f35351a,episodes/APPL_6_xhigh/buffer_swap/OOD/30100/replay.mp4,"{""blue_at_goal"": 1390, ""red_at_goal"": null, ""success"": null}","{""blue_at_goal"": true, ""red_at_goal"": false, ""success"": false}","{""red"": 0.28205395862460136, ""blue"": 0.2348698191344738}",9,35,47,"[{""file"": ""0047.response.json"", ""reason"": ""The exchange is incomplete. At physical step 2305, blue_at_goal=1, red_at_goal=0, success=0. Blue is supported at (-0.368146,-0.196609,0.020000). Red is supported at (-0.308708,0.161379,0.020000), but its rotated footprint protrudes approximately 3.1 mm beyond the positive-x boundary and 0.4 mm beyond the negative-y boundary of its goal. Final placement and bounded recovery attempts did not correct this: finish h01 released with an invalid footprint, finish h03 and h02 retreated without moving red, and a transfer h02 reacquisition attempt traveled toward the old buffer instead of the displaced red. The available policies have not shown a credible remaining correction route from this state; further blind continuation is not justified. No additional release or clearance requirement is being imposed—the supplied geometric conjunction itself remains false.""}]",True,red_final_goal_not_reached_after_blue_goal
two_block_sort,OOD,30001,APPL_6_xhigh,False,1667,agent_finished,"{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/APPL_GPT6_astra_xhigh/two_block_sort/OOD/30001,episodes/APPL_6_xhigh/two_block_sort/OOD/30001,7ff5be8c20320c051efc8777d37aac5e8ad70102a4a758a50cd9bd5d38837368,3f9564bbcfc84f56271fa6c277d1d3cc2f292f2c3a8480a518ae81b4ae952a92,4465db5a1bb983da254a7998ca64aea5215be74597ff5b09ff045d4b6bdd40fc,episodes/APPL_6_xhigh/two_block_sort/OOD/30001/replay.mp4,"{""blue_at_goal"": null, ""red_at_goal"": 262, ""success"": null}","{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}","{""red"": 0.2731856219470501, ""blue"": 0.26872868463397026}",6,25,35,"[{""file"": ""0035.response.json"", ""reason"": ""Task incomplete: measured red_at_goal=1, blue_at_goal=0, success=0. Red remains contained at approximately (-0.1751,-0.2416,0.0200); blue remains off-pad at (-0.1314,0.0885,0.0200). Bounded recovery attempts failed to reacquire the displaced blue block. The final acquisition h03 attempt descended toward the former source and began closing 0.263 m away from blue; earlier alternatives returned to red or stalled. Although delivery h03 could restore an empty high bridge, no tested successor followed the displaced blue source. The available successful-demonstration local policies provide no credible remaining recovery route, so I am stopping without claiming completion.""}]",True,blue_rose_but_goal_not_reached
buffer_swap,OOD,30101,APPL_6_xhigh,False,1189,agent_finished,"{""blue_at_goal"": false, ""red_at_goal"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/ood_continuation_20260920/episodes/buffer_swap/OOD/30101,episodes/APPL_6_xhigh/buffer_swap/OOD/30101,8a1bfa0669f4a04b68d074e66aa6e2fc4b6162f6b1df912356f83afcc37d2994,249e84aa2c0cb705986d3cefcd66608f3e449fa9f21e59c9bf7e58dbb5870387,dbaf92c7a0252f77dd984669e2c00c10d12bc755b451e7a36175af04e8a4162c,episodes/APPL_6_xhigh/buffer_swap/OOD/30101/replay.mp4,"{""blue_at_goal"": null, ""red_at_goal"": null, ""success"": null}","{""blue_at_goal"": false, ""red_at_goal"": false, ""success"": false}","{""red"": 0.28088338300585747, ""blue"": 0.011478766798973083}",6,15,22,"[{""file"": ""0022.response.json"", ""reason"": ""The swap is incomplete: both measured goal predicates remain false. Red was successfully staged at approximately (-0.184,-0.005,0.020), but blue pickup failed. Bounded recovery attempts reopened the gripper, then contact rotated and displaced blue to approximately (-0.359,0.142,0.020). The latest transfer policy still approaches the nominal source: TCP y=0.201 versus blue y=0.142, with open fingers and no grasp. Its last precontact descent did not reduce this 59 mm lateral error. The available buffer/transfer policies have not established a reliable pickup from this disturbed state; their documented overlap covers successful transitions, not these failed-contact states. Finish-red policies do not provide a supported route to recover unplaced blue here. I judge further repeated contact attempts lack a credible route to simultaneous goals and am ending without claiming success.""}]",True,blue_rise_under_4cm
tray_pack,OOD,30301,APPL_6_xhigh,False,1033,agent_finished,"{""blue_at_goal"": false, ""red_at_goal"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/ood_continuation_20260920/episodes/tray_pack/OOD/30301,episodes/APPL_6_xhigh/tray_pack/OOD/30301,6e6488339f04c494ab94087c9958a31dfca1c09dcc1353c56f5325770493d103,e655781963ed0e20bc8735943dc176dbac5e39b8037450aedfc2623c5a28d919,be103f41f73d3e048b5f42f28ab6b997f9ec6015f9c076f9709342f0c55a9559,episodes/APPL_6_xhigh/tray_pack/OOD/30301/replay.mp4,"{""blue_at_goal"": null, ""red_at_goal"": 304, ""success"": null}","{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}","{""red"": 0.2870769016444683, ""blue"": 0.0032989662140607834}",6,15,22,"[{""file"": ""0022.response.json"", ""reason"": ""Task not completed: latest measured red_at_goal=0, blue_at_goal=0, success=0. Red was initially placed successfully, but repeated blue pickups closed empty; blue remains at its table source near(-0.37686,0.24692,0.020) after a large yaw change. Different acquisition/delivery priors did not establish blue lift or co-motion. One empty-hand reset successfully reopened the gripper, but a second reset displaced red to(-0.13494,-0.11377,0.036) and rotated it out of full goal containment. I stopped immediately on that loss. The available nominal policies have not shown a credible recovery route for this combined displaced-red/rotated-blue state, and further blind reset attempts risk additional displacement.""}]",True,blue_goal_not_reached
drawer_exchange,OOD,6402,APPL_6_xhigh,False,2663,agent_finished,"{""blue_inside"": false, ""drawer_open"": true, ""red_on_pad"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/ood_continuation_20260920/episodes/drawer_exchange/OOD/6402,episodes/APPL_6_xhigh/drawer_exchange/OOD/6402,ab4ea418461452bf3769c8ba00226edb4016e7afc1eca4bc56c6bdbb05b9c5e6,a41d3848a576b827fe84fdfe9cb98aaa3a937a0fc1fe23f7dd9de645c3b2ee82,2d0702b737c8eae7cd66ebadb4200cf27a99b7f98228cd5c0f868c08ae134007,episodes/APPL_6_xhigh/drawer_exchange/OOD/6402/replay.mp4,"{""blue_inside"": null, ""drawer_open"": 210, ""red_on_pad"": null, ""success"": null}","{""blue_inside"": false, ""drawer_open"": true, ""red_on_pad"": false, ""success"": false}","{""red"": 0.08330453187227249, ""blue"": -8.568167686462402e-08}",6,25,32,"[{""file"": ""0032.response.json"", ""reason"": ""Stopping without success. Measured drawer_position is 0.296400 m, so drawer-open is true, but red-on-pad and blue-inside are both false. Red remains in the drawer at approximately [-0.19065,-0.04493,0.06300] m; blue remains outside at [-0.39288,0.27148,0.02000] m. Multiple documented opening/acquisition/evacuation variants and bounded recovery attempts failed to establish sustained red transport. One actual red lift occurred, but the nonnominal grasp slipped immediately; the final retry transferred before closure from an open high-approach state and again produced empty-tool motion with drawer disturbance instead of pickup. The observed missed grasps, changed block pose and disturbed drawer exceed demonstrated successful-transition support. I do not judge further repeated local-policy retries to offer a credible route to completing all three goals in this trial.""}]",True,red_placement_not_reached
two_block_sort,OOD,30002,APPL_6_xhigh,False,1509,agent_finished,"{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/ood_continuation_20260920/episodes/two_block_sort/OOD/30002,episodes/APPL_6_xhigh/two_block_sort/OOD/30002,40e1b7e88ba368a20221e3bbff272220a5807b68bea8b50d02c915a9ee8a4b80,07c1ef7b950ed40f791be850d8c6e51645d8bddd9cb0f2470f9ffe14823b212d,1b4201692d01542caae0b27cd6fb5731367d690843259bfaed3e2a5874b75a69,episodes/APPL_6_xhigh/two_block_sort/OOD/30002/replay.mp4,"{""blue_at_goal"": null, ""red_at_goal"": 329, ""success"": null}","{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}","{""red"": 0.2580885998904705, ""blue"": 0.0029329750686883926}",6,19,28,"[{""file"": ""0028.response.json"", ""reason"": ""Incomplete: red_at_goal is true, but blue_at_goal and success remain false. Blue is still on the table at approximately (-0.4561, 0.2310, 0.0200), far from its pad at (-0.18, 0.25, 0.02). Repeated pickup attempts closed without lifting blue; later contact displaced and rotated it. Bounded recovery attempts across the available policies did not restore a reliable grasp. The final delivery-h03 continuation remained closed-empty and oscillated without opening or object progress. I judge further repetition of these local controllers has no sufficiently credible route to completion and am stopping without disturbing the placed red block.""}]",True,blue_rise_under_4cm
unstack_sort,OOD,30202,APPL_6_xhigh,False,560,agent_finished,"{""blue_at_goal"": false, ""red_at_goal"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/ood_continuation_20260920/episodes/unstack_sort/OOD/30202,episodes/APPL_6_xhigh/unstack_sort/OOD/30202,42877eb68afe5ca01824574356f435c4275869ed2287854e55673995577a2672,f3bdf004403bbe19afef4f05f34f42ae473a46fba70f256916e5c836bba1fd24,6340c0d79390d4fb52d8814f9be077ed6c529768083e9fa3f7e01fc6848d580f,episodes/APPL_6_xhigh/unstack_sort/OOD/30202/replay.mp4,"{""blue_at_goal"": null, ""red_at_goal"": null, ""success"": null}","{""blue_at_goal"": false, ""red_at_goal"": false, ""success"": false}","{""red"": 2.8267502784729004e-05, ""blue"": 4.127994179725647e-05}",5,7,14,"[{""file"": ""0014.response.json"", ""reason"": ""Task not completed: red_at_goal=0 and blue_at_goal=0 at step560. Red was knocked from the stack during an off-center failed grasp and now rests at (-0.2559,-0.0059,0.0200); blue remains at (-0.3112,0.0337,0.0200). No measured coupled lift succeeded. Bounded recovery with carry h01, renewed acquire h01, and carry h03 left the empty fingers fully closed and did not reacquire or move either block toward its pad. The latest carry policy moved only the TCP toward the red pad while both objects stayed still. The documented overlaps cover successful aligned pickup/release transitions, not this displaced, differently oriented red and persistent empty-grasp state. The remaining event-prior variant does not establish a credible recovery route, so I am ending honestly rather than treating empty-hand motion or goal predictions as progress.""}]",True,red_goal_not_reached
drawer_exchange,OOD,6403,APPL_6_xhigh,False,1283,agent_finished,"{""blue_inside"": false, ""drawer_open"": false, ""red_on_pad"": true, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/ood_continuation_20260920/episodes/drawer_exchange/OOD/6403,episodes/APPL_6_xhigh/drawer_exchange/OOD/6403,fdfc6d228df134d8527d895f9e2b074b806b3e8609d40a92855c1cc091b67b32,440d4d8ddaff78068a026d8805b9c636d4cb569dec9529340d5cc3eeac0f26b6,aeaea8d5bbd3c1142e704a4be09433ade1c3630bbe2925e5f975c42b8cf04047,episodes/APPL_6_xhigh/drawer_exchange/OOD/6403/replay.mp4,"{""blue_inside"": null, ""drawer_open"": 232, ""red_on_pad"": 669, ""success"": null}","{""blue_inside"": false, ""drawer_open"": true, ""red_on_pad"": true, ""success"": false}","{""red"": 0.24542739242315292, ""blue"": 0.0012070946395397186}",6,14,21,"[{""file"": ""0021.response.json"", ""reason"": ""Task not completed. At step1283, measured red_on_pad=1, blue_inside=0, drawer_open=0 and success=0; drawer_position=0.1670739 m, blue=(-0.3562456,0.2893048,0.0199999). Opening and red placement initially succeeded, but blue pickup missed and subsequent empty-tool motion disturbed the drawer. Bounded recoveries using contact-aware, containment-relational, attachment-aware and waypoint policies failed to acquire blue or restore access. Waypoint evacuation did reopen the fingers, but then approached 8cm away from blue; containment insertion subsequently closed at TCP-blue distance0.1341 m rather than correcting the source alignment. The current displaced-source, under-open-drawer state is outside established successful transition support, and observed retries give no credible remaining completion route with the frozen local policies. Stopping honestly preserves the still-achieved red-pad goal rather than claiming success or continuing phantom transport.""}]",True,blue_insertion_not_reached
two_block_sort,OOD,30003,APPL_6_xhigh,False,931,agent_finished,"{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/ood_continuation_20260920/episodes/two_block_sort/OOD/30003,episodes/APPL_6_xhigh/two_block_sort/OOD/30003,a3f234bda3902ec5e402aea29edfd01ffce7006adce22ec33ee56e1ec5758c9b,e9c496748ef67575e4c7393d9223ac716251573415a7f1c7fdd8280a3b429774,5ae54ae708f9eb90f069216594ed6a4b58d443b989f8d25b55d36390377d216f,episodes/APPL_6_xhigh/two_block_sort/OOD/30003/replay.mp4,"{""blue_at_goal"": null, ""red_at_goal"": 361, ""success"": null}","{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}","{""red"": 0.2803056947886944, ""blue"": 0.004541076719760895}",6,12,19,"[{""file"": ""0019.response.json"", ""reason"": ""Incomplete: latest measured state has red_at_goal=1, blue_at_goal=0, success=0. Red is safely on its pad at approximately (-0.18754,-0.26512,0.02000); blue remains near its source at (-0.38812,0.21623,0.02000). Blue acquisition missed, leaving an empty fully closed gripper. Bounded recovery attempts using the other acquisition policies and all delivery variants failed to reopen or lift blue; the latest 100-step contract-aware attempt also left both objects unchanged and finger width zero. The successful-demonstration overlaps do not establish recovery from this state, and the observed repeated failures leave no credible route to completion with the available frozen controllers. Stopping honestly with only red placed.""}]",True,blue_rise_under_4cm
