task,condition,seed,method,success,steps,status,final,source_root,bundle_root,result_sha256,initial_sha256,trace_sha256,video
drawer_exchange,OOD,6400,APPL_6_xhigh,True,987,succeeded,"{""blue_inside"": true, ""drawer_open"": true, ""red_on_pad"": true, ""success"": true}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/APPL_GPT6_astra_xhigh/drawer_exchange/OOD/6400,episodes/APPL_6_xhigh/drawer_exchange/OOD/6400,8e5405bc13c77bfaa9bfa9312801dd713ba605ef25d47c10c48c3a83197edae4,3abfc87c8b3f986626a6480eba71b5c4808df7d7223dc2dd1700691f8b710b1b,d119f9bfe6e53116ed809188348ecbaeeb0bf849dee79984ab60ed310a40cc13,episodes/APPL_6_xhigh/drawer_exchange/OOD/6400/replay.mp4
drawer_exchange,OOD,6400,naive_DP,False,5000,physical_budget_exhausted,"{""blue_inside"": false, ""drawer_open"": true, ""red_on_pad"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/binary_gripper_v1_20260919/drawer_exchange/evaluation/naive_DP/OOD/6400,episodes/naive_DP/drawer_exchange/OOD/6400,8c5f913b761166bda0d85d2980800262d69918246e4143695b2c5f22916f9f70,3abfc87c8b3f986626a6480eba71b5c4808df7d7223dc2dd1700691f8b710b1b,848fe5168f564a53e9d700d714ffae2801c64279850005a23367d84856443cb7,episodes/naive_DP/drawer_exchange/OOD/6400/replay.mp4
drawer_exchange,OOD,6400,SinglePrior_6_xhigh,False,5000,physical_budget_exhausted,"{""blue_inside"": false, ""drawer_open"": true, ""red_on_pad"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/binary_gripper_v1_20260919/drawer_exchange/evaluation/SinglePrior_6_xhigh/OOD/6400,episodes/SinglePrior_6_xhigh/drawer_exchange/OOD/6400,1a77bb4d1bbde0d4401eddb5ca1260567c785e98cbffb39c7e17b6d924062de5,3abfc87c8b3f986626a6480eba71b5c4808df7d7223dc2dd1700691f8b710b1b,edb110ff649e857ef63f2a85a171f55fe9f895aee052cb6e6c95b71e7b8a315d,episodes/SinglePrior_6_xhigh/drawer_exchange/OOD/6400/replay.mp4
two_block_sort,OOD,30000,APPL_6_xhigh,False,1786,agent_finished,"{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/APPL_GPT6_astra_xhigh/two_block_sort/OOD/30000,episodes/APPL_6_xhigh/two_block_sort/OOD/30000,b6d9051542d557543683187abdcc15cdd4e945ea0cdafae5fde3993dd53faa0d,9f06699d86efd8287197b2d26f440ab59276f5b97c54a58960ea384213f9daba,39b1824334a6e5db502d4a1ef58f1383cd594a04ee335510587c60673809b094,episodes/APPL_6_xhigh/two_block_sort/OOD/30000/replay.mp4
two_block_sort,OOD,30000,naive_DP,False,5000,physical_budget_exhausted,"{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/binary_gripper_v1_20260919/two_block_sort/evaluation/naive_DP/OOD/30000,episodes/naive_DP/two_block_sort/OOD/30000,f5c5c727e38c70b9263e924cbbbd4361fa8eb4d36b17fb28333332d761e7e116,9f06699d86efd8287197b2d26f440ab59276f5b97c54a58960ea384213f9daba,0f1178b96922cd2c1ea5db263a62d66e961f9679e13213143be9cec2140c2e93,episodes/naive_DP/two_block_sort/OOD/30000/replay.mp4
two_block_sort,OOD,30000,SinglePrior_6_xhigh,False,5000,physical_budget_exhausted,"{""blue_at_goal"": false, ""red_at_goal"": true, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/binary_gripper_v1_20260919/two_block_sort/evaluation/SinglePrior_6_xhigh/OOD/30000,episodes/SinglePrior_6_xhigh/two_block_sort/OOD/30000,7c8d3e6f92f6409000babe0925aa3351ec09a76282551ef25ab67938415567e7,9f06699d86efd8287197b2d26f440ab59276f5b97c54a58960ea384213f9daba,72432b78f7bab7d16ffafc140a6ea34426508ade8a1ef352a1a2125559b0e185,episodes/SinglePrior_6_xhigh/two_block_sort/OOD/30000/replay.mp4
buffer_swap,OOD,30100,APPL_6_xhigh,False,2305,agent_finished,"{""blue_at_goal"": true, ""red_at_goal"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/APPL_GPT6_astra_xhigh/buffer_swap/OOD/30100,episodes/APPL_6_xhigh/buffer_swap/OOD/30100,84bed6d07c0b325109f88bd02cbc55b2c40a6be93e4f1d9cf4696fcc91db6bd7,fc0646fbda651149b83197228a014cf1645ba98d039a19a4dfe0c9d38b73fa71,0786eed7f66456ef54a928584be408e05bfa13dec32c00072eaf6bd04f35351a,episodes/APPL_6_xhigh/buffer_swap/OOD/30100/replay.mp4
buffer_swap,OOD,30100,naive_DP,False,5000,physical_budget_exhausted,"{""blue_at_goal"": false, ""red_at_goal"": false, ""success"": false}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/binary_gripper_v1_20260919/buffer_swap/evaluation/naive_DP/OOD/30100,episodes/naive_DP/buffer_swap/OOD/30100,3e52ef3f7eceb96fb18c803feeb00e3e68d3899040c8ad8f47651303c163304d,fc0646fbda651149b83197228a014cf1645ba98d039a19a4dfe0c9d38b73fa71,cbf13abf2e4cb228bf03e3d9359dd0660b596c8061d7f46c2084895ee3f4fec0,episodes/naive_DP/buffer_swap/OOD/30100/replay.mp4
buffer_swap,OOD,30100,SinglePrior_6_xhigh,True,985,succeeded,"{""blue_at_goal"": true, ""red_at_goal"": true, ""success"": true}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/binary_gripper_v1_20260919/buffer_swap/evaluation/SinglePrior_6_xhigh/OOD/30100,episodes/SinglePrior_6_xhigh/buffer_swap/OOD/30100,6605729ac2d71c9c0b7a7ccffa9b566b8c7eb5ebbef36c9b1d2bc4e8d16187cf,fc0646fbda651149b83197228a014cf1645ba98d039a19a4dfe0c9d38b73fa71,de6d9879a0720575485ef6317df43252d92bc24d04f915a39ceceb0bc7fd85dd,episodes/SinglePrior_6_xhigh/buffer_swap/OOD/30100/replay.mp4
unstack_sort,OOD,30200,APPL_6_xhigh,True,617,succeeded,"{""blue_at_goal"": true, ""red_at_goal"": true, ""success"": true}",/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/Exp2_new/APPL_GPT6_astra_xhigh/unstack_sort/OOD/30200,episodes/APPL_6_xhigh/unstack_sort/OOD/30200,d048266d2fe7d2fee31701d8db63fc7ba6ad130538d2b8bc7d611ce033366771,f46625f0638f0f112c9496b1fb89c716eb052688555331973688bc53f89a356b,732125fe21c008d8f931b3e4e72836a982d6c13c79d939be0309646c9d8d254c,episodes/APPL_6_xhigh/unstack_sort/OOD/30200/replay.mp4
