task,condition,method,successes,trials,rate,wilson95_low,wilson95_high,success_by_1500,success_by_3000
drawer_exchange,OOD,naive_DP,0,15,0.0,0.0,0.20388330103584862,0,0
drawer_exchange,OOD,SinglePrior_6_xhigh,0,15,0.0,0.0,0.20388330103584862,0,0
drawer_exchange,OOD,APPL_6_xhigh,2,15,0.13333333333333333,0.03736125910306537,0.37881982832322364,2,2
two_block_sort,OOD,naive_DP,0,15,0.0,0.0,0.20388330103584862,0,0
two_block_sort,OOD,SinglePrior_6_xhigh,4,15,0.26666666666666666,0.10897453325692374,0.5195043405598057,4,4
two_block_sort,OOD,APPL_6_xhigh,3,15,0.2,0.07047549346981563,0.45185448715169363,3,3
buffer_swap,OOD,naive_DP,0,15,0.0,0.0,0.20388330103584862,0,0
buffer_swap,OOD,SinglePrior_6_xhigh,1,15,0.06666666666666667,0.011866895493268553,0.2981652987378003,1,1
buffer_swap,OOD,APPL_6_xhigh,4,15,0.26666666666666666,0.10897453325692374,0.5195043405598057,3,4
unstack_sort,OOD,naive_DP,5,15,0.3333333333333333,0.1517632443971473,0.5828645226148023,5,5
unstack_sort,OOD,SinglePrior_6_xhigh,3,15,0.2,0.07047549346981563,0.45185448715169363,3,3
unstack_sort,OOD,APPL_6_xhigh,11,15,0.7333333333333333,0.4804956594401943,0.8910254667430761,11,11
tray_pack,OOD,naive_DP,0,15,0.0,0.0,0.20388330103584862,0,0
tray_pack,OOD,SinglePrior_6_xhigh,2,15,0.13333333333333333,0.03736125910306537,0.37881982832322364,2,2
tray_pack,OOD,APPL_6_xhigh,10,15,0.6666666666666666,0.41713547738519774,0.8482367556028526,10,10
all,OOD,naive_DP,5,75,0.06666666666666667,0.02881006289949372,0.14675060058560468,5,5
all,OOD,SinglePrior_6_xhigh,10,75,0.13333333333333333,0.07406584704043956,0.2283316374469514,10,10
all,OOD,APPL_6_xhigh,30,75,0.4,0.2966251564586679,0.5131196120378932,29,30
