task,condition,method,successes,trials,rate,wilson95_low,wilson95_high,success_by_1500,success_by_3000
drawer_exchange,ID,naive_DP,2,2,1.0,0.34238022750665303,1.0,2,2
drawer_exchange,ID,SinglePrior_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
drawer_exchange,ID,APPL_6_xhigh,0,2,0.0,0.0,0.6576197724933469,0,0
two_block_sort,ID,naive_DP,1,2,0.5,0.09453120573423074,0.9054687942657693,1,1
two_block_sort,ID,SinglePrior_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
two_block_sort,ID,APPL_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
buffer_swap,ID,naive_DP,1,2,0.5,0.09453120573423074,0.9054687942657693,1,1
buffer_swap,ID,SinglePrior_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
buffer_swap,ID,APPL_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
unstack_sort,ID,naive_DP,2,2,1.0,0.34238022750665303,1.0,2,2
unstack_sort,ID,SinglePrior_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
unstack_sort,ID,APPL_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
tray_pack,ID,naive_DP,0,2,0.0,0.0,0.6576197724933469,0,0
tray_pack,ID,SinglePrior_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
tray_pack,ID,APPL_6_xhigh,2,2,1.0,0.34238022750665303,1.0,2,2
all,ID,naive_DP,6,10,0.6,0.31267376973365824,0.8318196702937638,6,6
all,ID,SinglePrior_6_xhigh,10,10,1.0,0.7224672001371107,0.9999999999999999,10,10
all,ID,APPL_6_xhigh,8,10,0.8,0.49016247153664183,0.9433178485456247,8,8
