actions,observations,path,sha256,task,trajectory_id,bundle_file
1065,1066,data/exp2/demonstrations_v2/demo1000.json,58d911a45df1915e4a74c254caf6de4e202ead11d89ed69197de0b5f0c17fde5,drawer_exchange,demo1000,training_data/drawer_exchange/demo1000.json
1077,1078,data/exp2/demonstrations_v2/demo1001.json,165f93f38197cd75050488a557609072e12ca0006771c36b72b90e8cae68f956,drawer_exchange,demo1001,training_data/drawer_exchange/demo1001.json
1063,1064,data/exp2/demonstrations_v2/demo1002.json,8c43a8c1562f90c040f0570aa1dde013fad47bbef1f786ccf8ab2ba3d766136d,drawer_exchange,demo1002,training_data/drawer_exchange/demo1002.json
1066,1067,data/exp2/demonstrations_v2/demo1003.json,01c617c320a46f6c3862737aad218921effe677e1630ab85e7a43d80e1fe082a,drawer_exchange,demo1003,training_data/drawer_exchange/demo1003.json
1065,1066,data/exp2/demonstrations_v2/demo1004.json,bfa82b20e4971095967e9981400d145771890c2a55fff0568853e2d77acf3a22,drawer_exchange,demo1004,training_data/drawer_exchange/demo1004.json
1070,1071,data/exp2/demonstrations_v2/demo1005.json,71eacabcb7799f216f03bb1e582e6aec3a42e83850c569b001de3cbc4e26778a,drawer_exchange,demo1005,training_data/drawer_exchange/demo1005.json
1064,1065,data/exp2/demonstrations_v2/demo1006.json,4d2e5f38fd0c80ef267e9ae877f9d9e1b098325ac5da5aa769b0e9abeceef06b,drawer_exchange,demo1006,training_data/drawer_exchange/demo1006.json
1069,1070,data/exp2/demonstrations_v2/demo1007.json,410c02b19c7511f551f3c69e21c88c7e386b4067ebfebc6c169e9b44e94cc930,drawer_exchange,demo1007,training_data/drawer_exchange/demo1007.json
1071,1072,data/exp2/demonstrations_v2/demo1008.json,7c7641d622180d497137b4560cadf5a4497bf22c7ffb5a5aef785fe0a1f17cc3,drawer_exchange,demo1008,training_data/drawer_exchange/demo1008.json
1065,1066,data/exp2/demonstrations_v2/demo1009.json,9ff9137a991b6a81fa0f9330449d359eeeeed398e225b1dbe22a449ea7b84d93,drawer_exchange,demo1009,training_data/drawer_exchange/demo1009.json
