task,method,policy_id,check,passed,confirmed_optimizer_updates,optimizer_update_upper_bound,uncertainty_upper_bound
drawer_exchange,SinglePrior_6_xhigh,SinglePrior_6_xhigh,runs/exp2/single_policy_astra_xhigh/drawer_exchange/policy/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h01,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_01/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h02,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_02/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,side_grasp_red_pull_drawer_open__h03,runs/exp2/M1_initial_test/policies/side_grasp_red_pull_drawer_open/heuristic_03/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h01,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_01/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h02,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_02/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,red_top_regrasp_lift__h03,runs/exp2/M1_initial_test/policies/red_top_regrasp_lift/heuristic_03/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,red_transport_place_pad__h01,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_01/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,red_transport_place_pad__h02,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/checks/00,False,0,2,2
drawer_exchange,APPL_5_5_high,red_transport_place_pad__h02,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_02/checks/01,True,2,2,0
drawer_exchange,APPL_5_5_high,red_transport_place_pad__h03,runs/exp2/M1_initial_test/policies/red_transport_place_pad/heuristic_03/checks/00,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_approach_grasp_lift__h01,runs/exp2/M1_initial_test/policies/blue_approach_grasp_lift/heuristic_01/checks/00,False,0,2,2
drawer_exchange,APPL_5_5_high,blue_approach_grasp_lift__h01,runs/exp2/M1_initial_test/policies/blue_approach_grasp_lift/heuristic_01/checks/01,True,2,2,0
drawer_exchange,APPL_5_5_high,blue_approach_grasp_lift__h02,runs/exp2/M1_initial_test/policies/blue_approach_grasp_lift/heuristic_02/checks/00,False,0,2,2
