task,condition,method,seed,success,physical_steps,elapsed_seconds,inference_chunks,inference_seconds,policy_invocations,source
drawer_exchange,ID,naive_DP,6300,True,976,106.57176447298843,122,93.9219713958446,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6300/result.json
drawer_exchange,ID,naive_DP,6301,False,5000,809.8366480600089,625,771.7587811265839,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6301/result.json
drawer_exchange,ID,naive_DP,6302,True,999,182.00117464800132,125,162.81849161960417,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6302/result.json
drawer_exchange,ID,naive_DP,6303,False,5000,793.579482525005,625,755.018290633976,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6303/result.json
drawer_exchange,ID,naive_DP,6304,False,5000,780.8847766420222,625,742.3206136562512,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6304/result.json
drawer_exchange,ID,naive_DP,6305,True,977,160.52308873599395,123,143.35986065142788,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6305/result.json
drawer_exchange,ID,naive_DP,6306,True,1027,171.25933963397983,129,154.98752535600215,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6306/result.json
drawer_exchange,ID,naive_DP,6307,True,1011,187.53260639496148,127,168.4400484857615,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6307/result.json
drawer_exchange,ID,naive_DP,6308,False,5000,846.0641816779971,625,802.9124235311174,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6308/result.json
drawer_exchange,ID,naive_DP,6309,True,946,147.60317831503926,119,134.02404773584567,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6309/result.json
drawer_exchange,ID,naive_DP,6310,False,5000,699.2890880970517,625,669.4510660689557,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6310/result.json
drawer_exchange,ID,naive_DP,6311,True,983,151.83041202201275,123,138.30271813028958,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6311/result.json
drawer_exchange,ID,naive_DP,6312,False,5000,736.2253059730283,625,704.7034293261822,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6312/result.json
drawer_exchange,ID,naive_DP,6313,True,1091,185.649847202003,137,171.45430273143575,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6313/result.json
drawer_exchange,ID,naive_DP,6314,False,5000,766.7080150230322,625,730.2569825454266,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6314/result.json
drawer_exchange,ID,naive_DP,6315,False,5000,845.883047080948,625,802.4241423658677,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6315/result.json
drawer_exchange,ID,naive_DP,6316,False,5000,843.6058655829984,625,797.8291476146551,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6316/result.json
drawer_exchange,ID,naive_DP,6317,False,5000,836.4434510149877,625,794.2460374134826,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6317/result.json
drawer_exchange,ID,naive_DP,6318,False,5000,803.6744621989783,625,761.4405344295665,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6318/result.json
drawer_exchange,ID,naive_DP,6319,True,997,169.09976860997267,125,151.75944143056404,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6319/result.json
drawer_exchange,ID,naive_DP,6320,False,5000,780.61780632101,625,740.7842656748253,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6320/result.json
drawer_exchange,ID,naive_DP,6321,False,5000,791.4578745879699,625,754.2780907772249,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6321/result.json
drawer_exchange,ID,naive_DP,6322,True,977,170.62884255702375,123,154.46646031772252,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6322/result.json
drawer_exchange,ID,naive_DP,6323,True,1071,185.36184804601362,134,167.0047326689819,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6323/result.json
drawer_exchange,ID,naive_DP,6324,True,985,173.51622806105297,124,155.61267833190504,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6324/result.json
drawer_exchange,ID,naive_DP,6325,True,1118,203.81379025895149,140,182.00813746085623,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6325/result.json
drawer_exchange,ID,naive_DP,6326,False,5000,867.3466358280275,625,819.0353093994781,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6326/result.json
drawer_exchange,ID,naive_DP,6327,True,999,184.05469556199387,125,164.26140487892553,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6327/result.json
drawer_exchange,ID,naive_DP,6328,True,1070,185.7661765619996,134,169.14500636328012,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6328/result.json
drawer_exchange,ID,naive_DP,6329,False,5000,727.0554171450203,625,694.3654529972118,,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6329/result.json
drawer_exchange,ID,APPL_5_5_high,6300,True,924,339.94075869198423,,,9,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6300/result.json
drawer_exchange,ID,APPL_5_5_high,6301,True,1007,337.45691038598306,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6301/result.json
drawer_exchange,ID,APPL_5_5_high,6302,True,972,432.40509187598946,,,10,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6302/result.json
drawer_exchange,ID,APPL_5_5_high,6303,True,940,396.01046593196224,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6303/result.json
drawer_exchange,ID,APPL_5_5_high,6304,True,1020,361.0737967630266,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6304/result.json
drawer_exchange,ID,APPL_5_5_high,6305,True,966,413.4034459969844,,,7,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6305/result.json
drawer_exchange,ID,APPL_5_5_high,6306,True,990,454.96499283600133,,,8,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6306/result.json
drawer_exchange,ID,APPL_5_5_high,6307,True,1014,435.7812292929739,,,8,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6307/result.json
