completed,condition,episode_root,first_goals,first_success,method,reused_original_result,seed,selected_attempt,status,steps,success,success_by_1500,success_by_3000,success_by_5000,task,original_episode_root
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6300,"{""blue_inside"": 976, ""drawer_open"": 203, ""red_on_pad"": 607, ""success"": 976}",976,naive_DP,True,6300,original,succeeded,976,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6301,"{""drawer_open"": 202}",,naive_DP,True,6301,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6302,"{""blue_inside"": 999, ""drawer_open"": 206, ""red_on_pad"": 631, ""success"": 999}",999,naive_DP,True,6302,original,succeeded,999,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6303,"{""drawer_open"": 227}",,naive_DP,True,6303,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6304,"{""drawer_open"": 200}",,naive_DP,True,6304,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6305,"{""blue_inside"": 977, ""drawer_open"": 205, ""red_on_pad"": 594, ""success"": 977}",977,naive_DP,True,6305,original,succeeded,977,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6306,"{""blue_inside"": 1027, ""drawer_open"": 202, ""red_on_pad"": 625, ""success"": 1027}",1027,naive_DP,True,6306,original,succeeded,1027,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6307,"{""blue_inside"": 1011, ""drawer_open"": 195, ""red_on_pad"": 652, ""success"": 1011}",1011,naive_DP,True,6307,original,succeeded,1011,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6308,"{""drawer_open"": 226}",,naive_DP,True,6308,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6309,"{""blue_inside"": 946, ""drawer_open"": 209, ""red_on_pad"": 574, ""success"": 946}",946,naive_DP,True,6309,original,succeeded,946,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6310,"{""drawer_open"": 203}",,naive_DP,True,6310,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6311,"{""blue_inside"": 983, ""drawer_open"": 219, ""red_on_pad"": 631, ""success"": 983}",983,naive_DP,True,6311,original,succeeded,983,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6312,"{""drawer_open"": 203}",,naive_DP,True,6312,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6313,"{""blue_inside"": 1091, ""drawer_open"": 203, ""red_on_pad"": 697, ""success"": 1091}",1091,naive_DP,True,6313,original,succeeded,1091,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6314,"{""drawer_open"": 224, ""red_on_pad"": 631}",,naive_DP,True,6314,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6315,"{""drawer_open"": 219, ""red_on_pad"": 637}",,naive_DP,True,6315,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6316,"{""drawer_open"": 211, ""red_on_pad"": 617}",,naive_DP,True,6316,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6317,"{""drawer_open"": 213}",,naive_DP,True,6317,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6318,"{""drawer_open"": 204}",,naive_DP,True,6318,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6319,"{""blue_inside"": 997, ""drawer_open"": 202, ""red_on_pad"": 641, ""success"": 997}",997,naive_DP,True,6319,original,succeeded,997,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6320,"{""drawer_open"": 201}",,naive_DP,True,6320,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6321,"{""drawer_open"": 209}",,naive_DP,True,6321,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6322,"{""blue_inside"": 977, ""drawer_open"": 194, ""red_on_pad"": 607, ""success"": 977}",977,naive_DP,True,6322,original,succeeded,977,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6323,"{""blue_inside"": 1071, ""drawer_open"": 260, ""red_on_pad"": 681, ""success"": 1071}",1071,naive_DP,True,6323,original,succeeded,1071,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6324,"{""blue_inside"": 985, ""drawer_open"": 195, ""red_on_pad"": 625, ""success"": 985}",985,naive_DP,True,6324,original,succeeded,985,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6325,"{""blue_inside"": 1099, ""drawer_open"": 214, ""red_on_pad"": 743, ""success"": 1118}",1118,naive_DP,True,6325,original,succeeded,1118,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6326,"{""drawer_open"": 211, ""red_on_pad"": 633}",,naive_DP,True,6326,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6327,"{""blue_inside"": 999, ""drawer_open"": 216, ""red_on_pad"": 631, ""success"": 999}",999,naive_DP,True,6327,original,succeeded,999,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6328,"{""blue_inside"": 1070, ""drawer_open"": 216, ""red_on_pad"": 657, ""success"": 1070}",1070,naive_DP,True,6328,original,succeeded,1070,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6329,"{""drawer_open"": 211}",,naive_DP,True,6329,original,physical_budget_exhausted,5000,False,False,False,False,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6300,"{""blue_inside"": 924, ""drawer_open"": 202, ""red_on_pad"": 581, ""success"": 924}",924,APPL_5_5_high,True,6300,original,succeeded,924,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6301,"{""blue_inside"": 1007, ""drawer_open"": 200, ""red_on_pad"": 643, ""success"": 1007}",1007,APPL_5_5_high,True,6301,original,succeeded,1007,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6302,"{""blue_inside"": 972, ""drawer_open"": 212, ""red_on_pad"": 604, ""success"": 972}",972,APPL_5_5_high,True,6302,original,succeeded,972,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6303,"{""blue_inside"": 940, ""drawer_open"": 198, ""red_on_pad"": 587, ""success"": 940}",940,APPL_5_5_high,True,6303,original,succeeded,940,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6304,"{""blue_inside"": 1020, ""drawer_open"": 239, ""red_on_pad"": 628, ""success"": 1020}",1020,APPL_5_5_high,True,6304,original,succeeded,1020,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6305,"{""blue_inside"": 966, ""drawer_open"": 196, ""red_on_pad"": 590, ""success"": 966}",966,APPL_5_5_high,True,6305,original,succeeded,966,True,True,True,True,drawer_exchange,
True,ID,/home/users/oscar/agent_learning/Agent-Prior-for-Policy-Training/runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6306,"{""blue_inside"": 990, ""drawer_open"": 199, ""red_on_pad"": 635, ""success"": 990}",990,APPL_5_5_high,True,6306,original,succeeded,990,True,True,True,True,drawer_exchange,
