method,attempt_scope,task,condition,seed,selected_for_main_matrix,completed,success,status,episode_root,plan_sha256,outcome_file,outcome_sha256
naive_DP,original,drawer_exchange,ID,6300,True,True,True,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6300,12683be357d293e6e69db49add38b9f85d98bbf2b8052cca9766c886f65a8769,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6300/result.json,2bb7fbb3758b97108407df3b9277b7f646b4d2c898b383c312f43c80f6614244
naive_DP,original,drawer_exchange,ID,6301,True,True,False,physical_budget_exhausted,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6301,448b8f9fd3807b410efab54bf39554becf0e3d6dfdbeffcf2496485ea0cf8f96,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6301/result.json,3b14acd7b410675ece69d40bf3fd24723641752226aa1d4116bd0f6fadb134cd
naive_DP,original,drawer_exchange,ID,6302,True,True,True,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6302,8d54d51fb9cb0bcffee18159882953ea3b30455354ed28f6bd0522391e73e64c,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6302/result.json,cbc49a8e477851f0c5eaa5e4659dfcb499cd23330a027d5155068ab1469b9c24
naive_DP,original,drawer_exchange,ID,6303,True,True,False,physical_budget_exhausted,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6303,5511c04c2a6906cba5078bd0524da50c3f0ba349de9fab6661bbcd5bcb2f9d12,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6303/result.json,61a8ea9e9eec3b3a60032a6f367809a7e9529265ac82df52c1845b66fef892f0
naive_DP,original,drawer_exchange,ID,6304,True,True,False,physical_budget_exhausted,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6304,8fd93bf15e3474f0c93ee7dda0c47052202f357b7056921196c27c8de2407e6d,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6304/result.json,5164a36915e42560577aee7e1ab90773f8287c2b6cf7e66e7737fd997abfddda
naive_DP,original,drawer_exchange,ID,6305,True,True,True,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6305,0c7ff061c1b6eecc8ecc0f6949efaa7cac85e985765f54d392695ed2741b4239,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6305/result.json,cef67579047764efc67d035d5486b65aa7ff9e5c2b49355002fce2c8fdf1ca42
naive_DP,original,drawer_exchange,ID,6306,True,True,True,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6306,76e4a784674a14c86bc5c5c26970d2b4519947e64fa50234830bdde710e12f4c,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6306/result.json,b84d14bb92732c0b522e9301106ad61f0db2afe53c53a2b523511548cf62766f
naive_DP,original,drawer_exchange,ID,6307,True,True,True,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6307,2a4d6201a4770bf1ac8d88726e9bd38247b523160bb2158e8ac9ea1e4df0c565,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6307/result.json,e1d92dd286544f8562f78182a97f7b6522e0d7dea3091b171dffc7674eaeb102
naive_DP,original,drawer_exchange,ID,6308,True,True,False,physical_budget_exhausted,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6308,4ea0ab1ba2fdc9f6c5d4feb26644853b46e76077973d67961daad956b9acc57e,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6308/result.json,aceacbac49d8f8dcb4acd820bc7a37c5fb57b9b48baacad29439fc3f3c194a39
naive_DP,original,drawer_exchange,ID,6309,True,True,True,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6309,4ffee80629244933307d500ae8aa02034198e63d5412589f42dabc6e04189b0e,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6309/result.json,cc22eccfaa35e810968b1c307e08b187148d05dcb0a5d17968c800e51dbd9c41
