task,condition,seed,blue,red
drawer_exchange,ID,6300,"[-0.39592835489725475, 0.3033279344079105, 0.02]","[0.09824696934789347, -0.07132242352691184, 0.063]"
drawer_exchange,ID,6301,"[-0.4098990493526755, 0.3126960821165826, 0.02]","[0.1033571232689171, -0.05341940140934196, 0.063]"
drawer_exchange,ID,6302,"[-0.41397426127141485, 0.29365330925483907, 0.02]","[0.09474030332181793, -0.05860375673100701, 0.063]"
drawer_exchange,ID,6303,"[-0.4064645640031895, 0.31385250595395675, 0.02]","[0.11547142990386314, -0.06265397393238839, 0.063]"
drawer_exchange,ID,6304,"[-0.38961036649741726, 0.2978501781305012, 0.02]","[0.09735003831393647, -0.07094500493083197, 0.063]"
drawer_exchange,ID,6305,"[-0.39203803476386073, 0.2892676149115776, 0.02]","[0.10632913878136474, -0.07438649100613029, 0.063]"
drawer_exchange,ID,6306,"[-0.4090027160317351, 0.31370069984319776, 0.02]","[0.09632986383444427, -0.06805216621282822, 0.063]"
drawer_exchange,ID,6307,"[-0.39946292626845165, 0.28635564675620934, 0.02]","[0.10066817491373863, -0.06184820927929316, 0.063]"
drawer_exchange,ID,6308,"[-0.3850282583159521, 0.2885202670379279, 0.02]","[0.1109956399637049, -0.0728190098726877, 0.063]"
drawer_exchange,ID,6309,"[-0.402004896053011, 0.2945412882815942, 0.02]","[0.11008911956386278, -0.05537250683787961, 0.063]"
drawer_exchange,ID,6310,"[-0.3895928178780374, 0.2972894098262044, 0.02]","[0.11378800595128258, -0.056008238175093664, 0.063]"
drawer_exchange,ID,6311,"[-0.3895375602009462, 0.29199136439250206, 0.02]","[0.10340219997055042, -0.0622385522392182, 0.063]"
drawer_exchange,ID,6312,"[-0.4004858136476755, 0.30430860563453294, 0.02]","[0.11560215800904954, -0.07283448698479339, 0.063]"
drawer_exchange,ID,6313,"[-0.41387109877854356, 0.2902016335816866, 0.02]","[0.09519236975077136, -0.07668310655281717, 0.063]"
drawer_exchange,ID,6314,"[-0.3872976271540351, 0.29251542347718246, 0.02]","[0.10281247294549153, -0.07557403379075275, 0.063]"
drawer_exchange,ID,6315,"[-0.4012274339245535, 0.31049530077526094, 0.02]","[0.10071646030521168, -0.0762849123999466, 0.063]"
drawer_exchange,ID,6316,"[-0.38835378731262743, 0.2999788815137137, 0.02]","[0.10824437525283413, -0.07580677089349167, 0.063]"
drawer_exchange,ID,6317,"[-0.38990949986763973, 0.30270267492418107, 0.02]","[0.10233593139435766, -0.07141563868208639, 0.063]"
drawer_exchange,ID,6318,"[-0.3922900264621615, 0.2971065585092854, 0.02]","[0.11563926625030202, -0.06107621040417346, 0.063]"
drawer_exchange,ID,6319,"[-0.38637829255611184, 0.2995229193466141, 0.02]","[0.1041387883886973, -0.07582427734365467, 0.063]"
drawer_exchange,ID,6320,"[-0.411720411948198, 0.3002212017055454, 0.02]","[0.11550628087268494, -0.06708036350038796, 0.063]"
drawer_exchange,ID,6321,"[-0.38767894509873335, 0.28564715083165537, 0.02]","[0.0996245157065553, -0.07628815508558999, 0.063]"
drawer_exchange,ID,6322,"[-0.39964301148724296, 0.3129577674851267, 0.02]","[0.10995146717063731, -0.07589017483889698, 0.063]"
drawer_exchange,ID,6323,"[-0.3979219672713657, 0.30816829501169235, 0.02]","[0.10877058550285325, -0.06398910219535763, 0.063]"
drawer_exchange,ID,6324,"[-0.3938415282647226, 0.30109894910149776, 0.02]","[0.10162253129907008, -0.0590297627190423, 0.063]"
drawer_exchange,ID,6325,"[-0.3949763607745771, 0.30913315562355775, 0.02]","[0.09731360803321523, -0.07107743625896094, 0.063]"
drawer_exchange,ID,6326,"[-0.4126500953211625, 0.3038807161924418, 0.02]","[0.09454052435752597, -0.06964164946312323, 0.063]"
drawer_exchange,ID,6327,"[-0.39805328568975634, 0.2977669939151302, 0.02]","[0.11322395863455606, -0.0695713181756471, 0.063]"
drawer_exchange,ID,6328,"[-0.399086189417328, 0.2927886669460221, 0.02]","[0.10524429425253475, -0.07135326393602598, 0.063]"
drawer_exchange,ID,6329,"[-0.3905479104735032, 0.3015852121074717, 0.02]","[0.11268034220421558, -0.07380474453665194, 0.063]"
drawer_exchange,OOD,6400,"[-0.41711330441213884, 0.26758846250284946, 0.02]","[0.1351909339551189, -0.038418726828005366, 0.063]"
