method,condition,task,episodes,successes,gripper_changed_by_executor_steps,intermediate_command_fraction,flagged_episodes,flagged_successes,flagged_events,episodes_with_100step_empty_width
APPL_5_5_high,ID,buffer_swap,30,29,0,0.06225692849487062,0,0,0,1
APPL_5_5_high,ID,drawer_exchange,30,29,0,0.05622162728436736,0,0,0,1
APPL_5_5_high,ID,tray_pack,30,21,0,0.16104125303331127,15,13,18,25
APPL_5_5_high,ID,two_block_sort,30,23,0,0.17455328766155803,0,0,0,7
APPL_5_5_high,ID,unstack_sort,30,29,0,0.04969598314741227,0,0,0,1
APPL_5_5_high,ID,all,150,131,0,0.10176067047413065,15,13,18,35
APPL_5_5_high,OOD,buffer_swap,30,13,0,0.2528097345132743,8,3,9,16
APPL_5_5_high,OOD,drawer_exchange,30,14,0,0.2614992196808243,0,0,0,12
APPL_5_5_high,OOD,tray_pack,30,4,0,0.24256830601092896,14,1,16,29
APPL_5_5_high,OOD,two_block_sort,30,4,0,0.33779169512134183,9,0,10,27
APPL_5_5_high,OOD,unstack_sort,30,15,0,0.2516870206392574,1,0,1,15
APPL_5_5_high,OOD,all,150,50,0,0.27528935709447944,32,4,36,99
APPL_6_xhigh,ID,buffer_swap,30,30,0,0.021343982374001653,0,0,0,0
APPL_6_xhigh,ID,drawer_exchange,30,8,0,0.09228987876311129,0,0,0,8
APPL_6_xhigh,ID,tray_pack,30,28,0,0.02392836926876962,0,0,0,2
APPL_6_xhigh,ID,two_block_sort,30,28,0,0.05682813292160206,0,0,0,0
APPL_6_xhigh,ID,unstack_sort,30,30,0,0.004205531891950181,0,0,0,0
APPL_6_xhigh,ID,all,150,124,0,0.04323857429565836,0,0,0,10
APPL_6_xhigh,OOD,buffer_swap,30,8,0,0.17591421501237284,3,0,4,23
APPL_6_xhigh,OOD,drawer_exchange,30,7,0,0.17798075260761828,0,0,0,14
APPL_6_xhigh,OOD,tray_pack,30,23,0,0.0939215875156536,0,0,0,12
APPL_6_xhigh,OOD,two_block_sort,30,18,0,0.19351704032761852,1,0,1,6
APPL_6_xhigh,OOD,unstack_sort,30,17,0,0.13138686131386862,6,0,6,19
APPL_6_xhigh,OOD,all,150,73,0,0.1555415104847844,10,0,11,74
SinglePrior_6_xhigh,ID,buffer_swap,30,29,0,0.012586091302492839,0,0,0,0
SinglePrior_6_xhigh,ID,drawer_exchange,30,22,0,0.38259914698580433,0,0,0,0
SinglePrior_6_xhigh,ID,tray_pack,30,29,0,0.16042423483235208,1,0,1,1
SinglePrior_6_xhigh,ID,two_block_sort,30,0,0,0.8946933333333333,23,0,42,2
SinglePrior_6_xhigh,ID,unstack_sort,30,30,0,0.0,0,0,0,0
SinglePrior_6_xhigh,ID,all,150,110,0,0.5645301372242487,24,0,43,3
SinglePrior_6_xhigh,OOD,buffer_swap,30,1,0,0.17220162931394783,15,0,15,22
SinglePrior_6_xhigh,OOD,drawer_exchange,30,1,0,0.25960561228317885,0,0,0,24
SinglePrior_6_xhigh,OOD,tray_pack,30,2,0,0.5894862739824913,12,0,12,19
SinglePrior_6_xhigh,OOD,two_block_sort,30,0,0,0.9608666666666666,23,0,23,2
SinglePrior_6_xhigh,OOD,unstack_sort,30,12,0,0.11339437721437445,2,0,2,7
SinglePrior_6_xhigh,OOD,all,150,16,0,0.4374433232638869,52,0,52,74
naive_DP,ID,buffer_swap,30,0,0,0.9435466666666666,9,0,40,30
naive_DP,ID,drawer_exchange,30,15,0,0.1645405477296153,0,0,0,15
naive_DP,ID,tray_pack,30,0,0,0.95688,25,0,25,29
naive_DP,ID,two_block_sort,30,1,0,0.8300890545931434,12,0,18,26
naive_DP,ID,unstack_sort,30,1,0,0.7476440365964228,22,0,153,27
naive_DP,ID,all,150,17,0,0.7772372684369937,68,0,236,127
naive_DP,OOD,buffer_swap,30,0,0,0.9135466666666666,8,0,22,29
naive_DP,OOD,drawer_exchange,30,0,0,0.11262,0,0,0,28
naive_DP,OOD,tray_pack,30,0,0,0.99298,29,0,29,30
naive_DP,OOD,two_block_sort,30,0,0,0.88008,26,0,27,26
naive_DP,OOD,unstack_sort,30,0,0,0.8895933333333333,28,0,271,30
naive_DP,OOD,all,150,0,0,0.757764,91,0,349,143
