task,condition,seed,method,success,steps,status,source,bundle_folder
drawer_exchange,ID,6300,naive_DP,True,976,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/ID/6300,execution_examples/drawer_exchange/ID/naive_DP
drawer_exchange,ID,6300,SinglePrior_6_xhigh,True,966,succeeded,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/ID/6300,execution_examples/drawer_exchange/ID/SinglePrior_6_xhigh
drawer_exchange,ID,6300,APPL_5_5_high,True,924,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/ID/6300,execution_examples/drawer_exchange/ID/APPL_5_5_high
drawer_exchange,ID,6300,APPL_6_xhigh,False,1008,agent_finished,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/ID/6300,execution_examples/drawer_exchange/ID/APPL_6_xhigh
drawer_exchange,OOD,6400,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/drawer_exchange/evaluation/naive_DP/OOD/6400,execution_examples/drawer_exchange/OOD/naive_DP
drawer_exchange,OOD,6400,SinglePrior_6_xhigh,False,5000,physical_budget_exhausted,runs/exp2/single_policy_astra_xhigh/drawer_exchange/evaluation/SinglePrior_6_xhigh/OOD/6400,execution_examples/drawer_exchange/OOD/SinglePrior_6_xhigh
drawer_exchange,OOD,6400,APPL_5_5_high,True,1688,succeeded,runs/exp2/M1_scaleup/drawer_exchange/evaluation/APPL/OOD/6400,execution_examples/drawer_exchange/OOD/APPL_5_5_high
drawer_exchange,OOD,6400,APPL_6_xhigh,True,1044,succeeded,runs/exp2/M1_astra_xhigh/drawer_exchange/evaluation/APPL/OOD/6400,execution_examples/drawer_exchange/OOD/APPL_6_xhigh
two_block_sort,ID,20000,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/two_block_sort/evaluation/naive_DP/ID/20000,execution_examples/two_block_sort/ID/naive_DP
two_block_sort,ID,20000,SinglePrior_6_xhigh,False,5000,physical_budget_exhausted,runs/exp2/single_policy_astra_xhigh/two_block_sort/evaluation/SinglePrior_6_xhigh/ID/20000,execution_examples/two_block_sort/ID/SinglePrior_6_xhigh
two_block_sort,ID,20000,APPL_5_5_high,True,680,succeeded,runs/exp2/M1_scaleup/two_block_sort/evaluation/APPL/ID/20000,execution_examples/two_block_sort/ID/APPL_5_5_high
two_block_sort,ID,20000,APPL_6_xhigh,True,657,succeeded,runs/exp2/M1_astra_xhigh/two_block_sort/evaluation/APPL/ID/20000,execution_examples/two_block_sort/ID/APPL_6_xhigh
two_block_sort,OOD,30000,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/two_block_sort/evaluation/naive_DP/OOD/30000,execution_examples/two_block_sort/OOD/naive_DP
two_block_sort,OOD,30000,SinglePrior_6_xhigh,False,5000,physical_budget_exhausted,runs/exp2/single_policy_astra_xhigh/two_block_sort/evaluation/SinglePrior_6_xhigh/OOD/30000,execution_examples/two_block_sort/OOD/SinglePrior_6_xhigh
two_block_sort,OOD,30000,APPL_5_5_high,False,882,agent_finished,runs/exp2/M1_scaleup/two_block_sort/evaluation/APPL/OOD/30000,execution_examples/two_block_sort/OOD/APPL_5_5_high
two_block_sort,OOD,30000,APPL_6_xhigh,True,900,succeeded,runs/exp2/M1_astra_xhigh/two_block_sort/evaluation/APPL/OOD/30000,execution_examples/two_block_sort/OOD/APPL_6_xhigh
buffer_swap,ID,20100,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/buffer_swap/evaluation/naive_DP/ID/20100,execution_examples/buffer_swap/ID/naive_DP
buffer_swap,ID,20100,SinglePrior_6_xhigh,True,958,succeeded,runs/exp2/single_policy_astra_xhigh/buffer_swap/evaluation/SinglePrior_6_xhigh/ID/20100,execution_examples/buffer_swap/ID/SinglePrior_6_xhigh
buffer_swap,ID,20100,APPL_5_5_high,True,916,succeeded,runs/exp2/M1_scaleup/buffer_swap/evaluation/APPL/ID/20100,execution_examples/buffer_swap/ID/APPL_5_5_high
buffer_swap,ID,20100,APPL_6_xhigh,True,963,succeeded,runs/exp2/M1_astra_xhigh/buffer_swap/evaluation/APPL/ID/20100,execution_examples/buffer_swap/ID/APPL_6_xhigh
buffer_swap,OOD,30100,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/buffer_swap/evaluation/naive_DP/OOD/30100,execution_examples/buffer_swap/OOD/naive_DP
buffer_swap,OOD,30100,SinglePrior_6_xhigh,False,5000,physical_budget_exhausted,runs/exp2/single_policy_astra_xhigh/buffer_swap/evaluation/SinglePrior_6_xhigh/OOD/30100,execution_examples/buffer_swap/OOD/SinglePrior_6_xhigh
buffer_swap,OOD,30100,APPL_5_5_high,True,1038,succeeded,runs/exp2/M1_scaleup/buffer_swap/evaluation/APPL/OOD/30100,execution_examples/buffer_swap/OOD/APPL_5_5_high
buffer_swap,OOD,30100,APPL_6_xhigh,False,2408,agent_finished,runs/exp2/M1_astra_xhigh/buffer_swap/evaluation/APPL/OOD/30100,execution_examples/buffer_swap/OOD/APPL_6_xhigh
unstack_sort,ID,20200,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/unstack_sort/evaluation/naive_DP/ID/20200,execution_examples/unstack_sort/ID/naive_DP
unstack_sort,ID,20200,SinglePrior_6_xhigh,True,599,succeeded,runs/exp2/single_policy_astra_xhigh/unstack_sort/evaluation/SinglePrior_6_xhigh/ID/20200,execution_examples/unstack_sort/ID/SinglePrior_6_xhigh
unstack_sort,ID,20200,APPL_5_5_high,True,578,succeeded,runs/exp2/M1_scaleup/unstack_sort/evaluation/APPL/ID/20200,execution_examples/unstack_sort/ID/APPL_5_5_high
unstack_sort,ID,20200,APPL_6_xhigh,True,627,succeeded,runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/ID/20200,execution_examples/unstack_sort/ID/APPL_6_xhigh
unstack_sort,OOD,30200,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/unstack_sort/evaluation/naive_DP/OOD/30200,execution_examples/unstack_sort/OOD/naive_DP
unstack_sort,OOD,30200,SinglePrior_6_xhigh,False,5000,physical_budget_exhausted,runs/exp2/single_policy_astra_xhigh/unstack_sort/evaluation/SinglePrior_6_xhigh/OOD/30200,execution_examples/unstack_sort/OOD/SinglePrior_6_xhigh
unstack_sort,OOD,30200,APPL_5_5_high,False,2232,agent_finished,runs/exp2/M1_scaleup/unstack_sort/evaluation/APPL/OOD/30200,execution_examples/unstack_sort/OOD/APPL_5_5_high
unstack_sort,OOD,30200,APPL_6_xhigh,True,630,succeeded,runs/exp2/M1_astra_xhigh/unstack_sort/evaluation/APPL/OOD/30200,execution_examples/unstack_sort/OOD/APPL_6_xhigh
tray_pack,ID,20300,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/ID/20300,execution_examples/tray_pack/ID/naive_DP
tray_pack,ID,20300,SinglePrior_6_xhigh,True,665,succeeded,runs/exp2/single_policy_astra_xhigh/tray_pack/evaluation/SinglePrior_6_xhigh/ID/20300,execution_examples/tray_pack/ID/SinglePrior_6_xhigh
tray_pack,ID,20300,APPL_5_5_high,False,1776,agent_finished,runs/exp2/M1_scaleup/tray_pack/evaluation/APPL/ID/20300,execution_examples/tray_pack/ID/APPL_5_5_high
tray_pack,ID,20300,APPL_6_xhigh,True,664,succeeded,runs/exp2/M1_astra_xhigh/tray_pack/evaluation/APPL/ID/20300,execution_examples/tray_pack/ID/APPL_6_xhigh
tray_pack,OOD,30300,naive_DP,False,5000,physical_budget_exhausted,runs/exp2/M1_scaleup/tray_pack/evaluation/naive_DP/OOD/30300,execution_examples/tray_pack/OOD/naive_DP
tray_pack,OOD,30300,SinglePrior_6_xhigh,False,5000,physical_budget_exhausted,runs/exp2/single_policy_astra_xhigh/tray_pack/evaluation/SinglePrior_6_xhigh/OOD/30300,execution_examples/tray_pack/OOD/SinglePrior_6_xhigh
tray_pack,OOD,30300,APPL_5_5_high,False,1537,agent_finished,runs/exp2/M1_scaleup/tray_pack/evaluation/APPL/OOD/30300,execution_examples/tray_pack/OOD/APPL_5_5_high
tray_pack,OOD,30300,APPL_6_xhigh,True,1192,succeeded,runs/exp2/M1_astra_xhigh/tray_pack/evaluation/APPL/OOD/30300,execution_examples/tray_pack/OOD/APPL_6_xhigh
