both_failure,both_success,complete_pairs,condition,reference,reference_only,single_only,task
6,13,30,ID,naive_DP,2,9,drawer_exchange
1,22,30,ID,APPL_5_5_high,7,0,drawer_exchange
5,5,30,ID,APPL_6_xhigh,3,17,drawer_exchange
29,0,30,OOD,naive_DP,0,1,drawer_exchange
16,1,30,OOD,APPL_5_5_high,13,0,drawer_exchange
22,0,30,OOD,APPL_6_xhigh,7,1,drawer_exchange
29,0,30,ID,naive_DP,1,0,two_block_sort
7,0,30,ID,APPL_5_5_high,23,0,two_block_sort
2,0,30,ID,APPL_6_xhigh,28,0,two_block_sort
30,0,30,OOD,naive_DP,0,0,two_block_sort
26,0,30,OOD,APPL_5_5_high,4,0,two_block_sort
12,0,30,OOD,APPL_6_xhigh,18,0,two_block_sort
1,0,30,ID,naive_DP,0,29,buffer_swap
0,28,30,ID,APPL_5_5_high,1,1,buffer_swap
0,29,30,ID,APPL_6_xhigh,1,0,buffer_swap
29,0,30,OOD,naive_DP,0,1,buffer_swap
17,1,30,OOD,APPL_5_5_high,12,0,buffer_swap
21,0,30,OOD,APPL_6_xhigh,8,1,buffer_swap
0,1,30,ID,naive_DP,0,29,unstack_sort
0,29,30,ID,APPL_5_5_high,0,1,unstack_sort
0,30,30,ID,APPL_6_xhigh,0,0,unstack_sort
18,0,30,OOD,naive_DP,0,12,unstack_sort
10,7,30,OOD,APPL_5_5_high,8,5,unstack_sort
10,9,30,OOD,APPL_6_xhigh,8,3,unstack_sort
1,0,30,ID,naive_DP,0,29,tray_pack
1,21,30,ID,APPL_5_5_high,0,8,tray_pack
0,27,30,ID,APPL_6_xhigh,1,2,tray_pack
28,0,30,OOD,naive_DP,0,2,tray_pack
25,1,30,OOD,APPL_5_5_high,3,1,tray_pack
7,2,30,OOD,APPL_6_xhigh,21,0,tray_pack
