method,task,policy_id,checkpoint,checkpoint_sha256,checkpoint_bytes
naive_DP,drawer_exchange,naive_DP,runs/exp2/current/models/naive_DP/drawer_exchange/naive_DP/training/last.pt,cfc5159592886349eb9e9a078c44757d7f53b3ce6befdd5d4f52398fd6c2f0c4,340231046
SinglePrior_6_xhigh,drawer_exchange,SinglePrior_6_xhigh,runs/exp2/current/models/SinglePrior_6_xhigh/drawer_exchange/SinglePrior_6_xhigh/training/last.pt,f44abd6c0e0c83502be4c5d2b63018952af93fea13dbc20934171d500a89dd6c,381075921
APPL_6_xhigh,drawer_exchange,open_access__h01,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h01/training/last.pt,67ca8a47ea2957424caee5cc0132bf34b4db5eda5911a902756e8d855de7a35b,390358761
APPL_6_xhigh,drawer_exchange,open_access__h02,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h02/training/last.pt,396cfb9c7cc22b2d894c04e44f2a5403f2e3a50bba02ac3e04bf855ce17618ec,383001561
APPL_6_xhigh,drawer_exchange,open_access__h03,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h03/training/last.pt,49025d902bda9711c38b60cd614b1de30d100f696659274de3fee746c781ec0e,361231073
APPL_6_xhigh,drawer_exchange,evacuate_red__h01,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h01/training/last.pt,2acc8338846e61480acdb076468cfde64b4ccd408cb4eba114d37c441f4b60bf,402033333
APPL_6_xhigh,drawer_exchange,evacuate_red__h02,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h02/training/last.pt,bc7d0cf4ff2a2626034da98a6c126d2dd660c64eb2864f6f3b6634b5e0b2a283,396619725
APPL_6_xhigh,drawer_exchange,evacuate_red__h03,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h03/training/last.pt,3773c3bfa96d453ed8aada48a94f91886c202ed2d30388fdca170dbb49e88faf,372368417
APPL_6_xhigh,drawer_exchange,insert_blue__h01,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h01/training/last.pt,e5927f60b43d7b97e6fae7493f063a9e49158e794c75d1f41035bf4cd4573b10,90377761
APPL_6_xhigh,drawer_exchange,insert_blue__h02,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h02/training/last.pt,277005a3d58450c300529043b83cf87b353f1df4dc7cdb731e94f9de502e6e70,362512653
APPL_6_xhigh,drawer_exchange,insert_blue__h03,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h03/training/last.pt,82061e980997a0dddb24dfbe65b4574f9a3b5ed8be7701fdc3e155ca1b2ea265,404128845
naive_DP,two_block_sort,naive_DP,runs/exp2/current/models/naive_DP/two_block_sort/naive_DP/training/last.pt,eac4a4476d2f1caff0ead47337eff21a03056c5348cda8b220b9d2079b124871,340239430
SinglePrior_6_xhigh,two_block_sort,SinglePrior_6_xhigh,runs/exp2/current/models/SinglePrior_6_xhigh/two_block_sort/SinglePrior_6_xhigh/training/last.pt,edb72859671e32111fcce4620b3b9921510c672cdc6b8d5d16b6230eb4993ad4,387888329
APPL_6_xhigh,two_block_sort,acquire_transport__h01,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h01/training/last.pt,e813e187f0fc0450a9bbe60a689718be6c3d4647910735b00d1ada9478d71b30,402726729
APPL_6_xhigh,two_block_sort,acquire_transport__h02,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h02/training/last.pt,23759d06e26ff42003f1c875a0013ff080520b7a92bff2ae6742c35bd8f95022,375199945
APPL_6_xhigh,two_block_sort,acquire_transport__h03,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/acquire_transport__h03/training/last.pt,1f5af57933263b7043c5a719c8797c2472e29c6c421d05387eaa87262f78c35d,392913197
APPL_6_xhigh,two_block_sort,deliver_disengage__h01,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h01/training/last.pt,0369cf7af61890195c487293cb2ce56af15d612ff1b5e34bbff588cd31845d00,397570017
APPL_6_xhigh,two_block_sort,deliver_disengage__h02,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h02/training/last.pt,1f7ed2f35703766b91e25cc6825565c6bd858b46b3c6cf314bfc8c6ccab966bb,375382297
APPL_6_xhigh,two_block_sort,deliver_disengage__h03,runs/exp2/current/models/APPL_6_xhigh/two_block_sort/deliver_disengage__h03/training/last.pt,ae22ec56bbbf1623393fdaa0851c25e8a17f8f6d256767ba6cc59994ce10682d,401857241
