checkpoint,checkpoint_sha256,folder,method,optimizer_updates,owner,parameters,policy_id,task,training_receipt,training_seconds,checkpoint_bytes,authorship_audit,prior_document,prior_summary_API_authored,source,source_version,handoff_document
runs/exp2/current/models/naive_DP/drawer_exchange/naive_DP/training/last.pt,cfc5159592886349eb9e9a078c44757d7f53b3ce6befdd5d4f52398fd6c2f0c4,runs/exp2/current/models/naive_DP/drawer_exchange/naive_DP,naive_DP,60000,Developer baseline,16998408,naive_DP,drawer_exchange,runs/exp2/current/models/naive_DP/drawer_exchange/naive_DP/training/result.json,1529.3049727570033,340231046,,,,,,
runs/exp2/current/models/SinglePrior_6_xhigh/drawer_exchange/SinglePrior_6_xhigh/training/last.pt,f44abd6c0e0c83502be4c5d2b63018952af93fea13dbc20934171d500a89dd6c,runs/exp2/current/models/SinglePrior_6_xhigh/drawer_exchange/SinglePrior_6_xhigh,SinglePrior_6_xhigh,60000,Runtime API,19038112,SinglePrior_6_xhigh,drawer_exchange,runs/exp2/current/models/SinglePrior_6_xhigh/drawer_exchange/SinglePrior_6_xhigh/training/result.json,2576.8420808399096,381075921,runs/exp2/current/models/SinglePrior_6_xhigh/drawer_exchange/SinglePrior_6_xhigh/authorship_audit.json,runs/exp2/current/models/SinglePrior_6_xhigh/drawer_exchange/SinglePrior_6_xhigh/source/PRIOR.md,Object/drawer-relative anticipation: shared object encoders and a causally predicted short-horizon relational future condition one learned action diffusion U-Net. A masked future-relation regression loss supervises the same anticipation features used by the denoiser.,runs/exp2/current/models/SinglePrior_6_xhigh/drawer_exchange/SinglePrior_6_xhigh/source,447db3589b475839ecd33bf8ccba42fcf40ed75c45fd81d48408d6912f6707b7,
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h01/training/last.pt,67ca8a47ea2957424caee5cc0132bf34b4db5eda5911a902756e8d855de7a35b,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h01,APPL_6_xhigh,20000,Runtime API,19489208,open_access__h01,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h01/training/result.json,1361.2731396959862,390358761,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h01/source/PRIOR.md,"Prismatic relational conditioning for a learned action DDPM: typed robot, drawer, red and blue nodes exchange messages using moving-drawer coordinates, with separate world-X axial and YZ transverse channels on drawer edges. Robot joints and world positions preserve reachability and gravity information. A masked drawer-displacement prediction auxiliary trains the shared causal encoder.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h01/source,14d25c294aaaf490df31e9095b2caa01fb02d93becb14de13beffedfbb6c716a,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h02/training/last.pt,396cfb9c7cc22b2d894c04e44f2a5403f2e3a50bba02ac3e04bf855ce17618ec,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h02,APPL_6_xhigh,20000,Runtime API,19131216,open_access__h02,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h02/training/result.json,1053.0559658280108,383001561,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h02/source/PRIOR.md,"Contact-event memory rather than an episode clock. A two-observation GRU feeds a learned eight-phase, duration-augmented ordered filter. Its soft posterior and censored dwell statistic gate phase-specific conditioning adapters of a shared learned action diffusion denoiser. Soft contact-motion phase supervision, ordered future-phase prediction, anti-chatter and transition-consistency losses train the latent representation over the entire expanded slice.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h02/source,8cb7e8f08172330d8c2275c03bee41829c7c76069b5765a53750a07dbd6daaba,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h03/training/last.pt,49025d902bda9711c38b60cd614b1de30d100f696659274de3fee746c781ec0e,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h03,APPL_6_xhigh,20000,Runtime API,18041340,open_access__h03,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h03/training/result.json,3488.271426909021,361231073,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h03/source/PRIOR.md,"Successor-aware short-horizon diffusion selection. A full-state diffusion proposal has three learned paired epsilon/clean-action refinements. A separately supervised three-member recurrent dynamics ensemble predicts eight-action consequences and opening, release/retreat and red-lift readiness. Within-denoising soft selection prefers demonstration-like predicted consequences with less disagreement, opening loss and stage-inappropriate coupling. A differentiable training consequence loss also teaches the epsilon proposal through frozen dynamics. This is an explicit adaptation of completed-chunk reranking to the fixed epsilon-only deployment interface, not an external planner.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h03/source,74481ae844dc3f1d928d703ca51e2de55528d8c71d9dfd31b67e1a2c2141c27b,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/open_access__h03/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h01/training/last.pt,2acc8338846e61480acdb076468cfde64b4ccd408cb4eba114d37c441f4b60bf,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h01,APPL_6_xhigh,20000,Runtime API,20082059,evacuate_red__h01,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h01/training/result.json,803.3399499819498,402033333,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h01/source/PRIOR.md,"Object-role relational attention conditions a learned joint-action DDPM on causal robot, drawer, red, blue and fixed-pad tokens. Explicit tool/object, object/target and object/drawer relations coexist with world anchors and sign-invariant rotation matrices. Learned robot-query attention changes focus without discarding background goals. A masked future-object displacement predictor trains the same attended representation.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h01/source,9ecb849d61032fa338908dd2890c7b489c6b6d67a0ad40559c7b625131b65545,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h02/training/last.pt,bc7d0cf4ff2a2626034da98a6c126d2dd660c64eb2864f6f3b6634b5e0b2a283,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h02,APPL_6_xhigh,20000,Runtime API,19812790,evacuate_red__h02,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h02/training/result.json,1190.781787950953,396619725,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h02/source/PRIOR.md,"Clearance waypoint hierarchy: a causal full-state encoder predicts event and manipulated-entity probabilities and conditions a learned spatial waypoint diffusion denoiser. A separate conditional action DDPM consumes the resulting robot/object intent and current state. Local future waypoints, event changes, capped duration and ongoing motion are supervised; teacher and predicted intents are mixed during action training.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h02/source,a9c5afb2ee371edc8adae286c052669595e028c438b4199d09d57a42f1c43d15,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h02/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h03/training/last.pt,3773c3bfa96d453ed8aada48a94f91886c202ed2d30388fdca170dbb49e88faf,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h03,APPL_6_xhigh,20000,Runtime API,18602102,evacuate_red__h03,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h03/training/result.json,3011.113689211954,372368417,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h03/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h03/source/PRIOR.md,"Attachment-consistent action diffusion: a causal learned none/handle/red/blue posterior and per-block continuous tool-relative transform refinement condition an absolute-joint DDPM. A learned action-conditioned rollout predicts TCP, block, drawer and finger states. Masked predicted block-relative translation and rotation changes are penalized only on confident co-motion windows; the handle receives an X-only prismatic coupling penalty. Release observations and commands deactivate the training constraint, not the denoiser.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h03/source,45cb9e2f592cd38ac987371ccf23b6cba1b1bd8292c67d9579c2ce9621d89d3c,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/evacuate_red__h03/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h01/training/last.pt,e5927f60b43d7b97e6fae7493f063a9e49158e794c75d1f41035bf4cd4573b10,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h01,APPL_6_xhigh,20000,Runtime API,4505681,insert_blue__h01,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h01/training/result.json,702.8164264790248,90377761,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h01/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h01/source/PRIOR.md,"Articulated containment margins condition a learned action diffusion transformer. World-frame wxyz poses yield rotated block extents, full XY containment margins, strict Z-interval margins and the drawer-opening margin. Both objects remain represented throughout red placement, blue acquisition, insertion and optional terminal retreat. A differentiable denoiser-latent head predicts masked demonstration future margins at four horizons; it does not impose premature goal satisfaction.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h01/source,38e9f467c2783bf23c6ad1227833a29d0f26afd5af0c1ba0bacaa51f5d369027,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h01/source/HANDOFF.json
runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h02/training/last.pt,277005a3d58450c300529043b83cf87b353f1df4dc7cdb731e94f9de502e6e70,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h02,APPL_6_xhigh,20000,Runtime API,18107916,insert_blue__h02,drawer_exchange,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h02/training/result.json,1337.2578924479894,362512653,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h02/authorship_audit.json,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h02/source/PRIOR.md,"Contact-belief adaptive diffusion: a causal two-frame GRU infers an eight-mode soft contact belief and a continuous relative-position latent. One learned epsilon diffusion decoder is conditioned on that belief and predicted contact changes. A learned temporal residual blends current and forecast contact embeddings with entropy/event-dependent retention. Future co-motion supplies weak training labels, and an action-conditioned learned motion predictor couples an auxiliary loss to denoised actions. The fixed interface does not permit changing the executed prefix; adaptive commitment is implemented inside the denoiser, not as an adaptive execution scheduler.",runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h02/source,a0f7f190d4526780abddc1f3a65f3ffa4a09546b8567aca3426140f148350275,runs/exp2/current/models/APPL_6_xhigh/drawer_exchange/insert_blue__h02/source/HANDOFF.json
