task,comparator,both_success,APPL_only_success,comparator_only_success,both_fail
drawer_exchange,naive_DP,0,2,0,13
drawer_exchange,SinglePrior_6_xhigh,0,2,0,13
two_block_sort,naive_DP,0,3,0,12
two_block_sort,SinglePrior_6_xhigh,1,2,3,9
buffer_swap,naive_DP,0,4,0,11
buffer_swap,SinglePrior_6_xhigh,0,4,1,10
unstack_sort,naive_DP,5,6,0,4
unstack_sort,SinglePrior_6_xhigh,3,8,0,4
tray_pack,naive_DP,0,10,0,5
tray_pack,SinglePrior_6_xhigh,1,9,1,4
all,naive_DP,5,25,0,45
all,SinglePrior_6_xhigh,5,25,5,40
