instance_id,task,n_demos,system_id,stage,cell,clipped_steps,episode_id,finished_at,first_success_step,inference_seconds,inference_seed,replans,reset_record_hash,split,started_at,steps,success,terminated,termination_reason,trace_sha256,truncated,valid_joint,wall_seconds
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LL,43,e1_pick-place-wall_dev_IID_000_410000000,2026-09-12T10:53:02.180469+00:00,112,4.053146951999224,510000000,28,4be52fcd12141701c05dd8a9fb3ba1715ac3fdbc59280b13c58c44d30d943f90,IID,2026-09-12T10:52:57.964552+00:00,112,True,False,success,b231e2a4feb2a2328d58c66f24d871007b122d5ab43f76f41e244fd7c9c604fc,False,True,4.201238484998612
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HH,16,e1_pick-place-wall_dev_IID_001_410000001,2026-09-12T10:53:04.961826+00:00,84,2.491643508001289,510000001,21,7ba9443a4cd4f127d24d5715c89f6084f781b80efa407e7f4cc825dd73ddc9a4,IID,2026-09-12T10:53:02.338423+00:00,84,True,False,success,c178e94b6d0c3bc90506a932a7d74f15d4417035cfb272c3e932a4d70b7b6d31,False,True,2.609311757998512
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LL,15,e1_pick-place-wall_dev_IID_002_410000002,2026-09-12T10:53:21.847455+00:00,,16.154183804010245,510000002,125,f0a2dab3edd410bd9888202f6efc604efa41fa59c6004800e58325a3133eddf6,IID,2026-09-12T10:53:05.084842+00:00,500,False,False,native_truncated,3bd76a8b422e0113c5e25d3a7e2123fd8b44d1d7c8f113603b6ccfd13f12467d,True,True,16.74889090799843
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HH,1,e1_pick-place-wall_dev_IID_003_410000003,2026-09-12T10:53:26.270835+00:00,83,4.1604138990005595,510000003,21,664b49d035583d7a62cbac308aed32876af770363b58dd5fd366bee5966482af,IID,2026-09-12T10:53:22.008032+00:00,83,True,False,success,25bba7fa642b828a8463e7645fd1cf9f4c48eecab729e8e00247d52243c28541,False,True,4.248560118001478
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LL,261,e1_pick-place-wall_dev_IID_004_410000004,2026-09-12T10:53:49.934488+00:00,,22.87958564499786,510000004,125,e3bb378712633f13376933fea8d6087aa3a3c349fe3a54a3222c65ef33ced30d,IID,2026-09-12T10:53:26.391109+00:00,500,False,False,native_truncated,78141266d4cab85f8916210b7167007566b1f256196b6ed86a965395274a3b62,True,True,23.52918979899914
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HH,18,e1_pick-place-wall_dev_IID_005_410000005,2026-09-12T10:53:53.686503+00:00,85,3.524055079993559,510000005,22,c27cceae494850588542738f212b1798fb7b5f704755e4bb9f62231158c4d0ad,IID,2026-09-12T10:53:50.060691+00:00,85,True,False,success,590bcf012895c2b5aa5cb7f3259770781ccf1938b024cc788ab60ebbcb504843,False,True,3.6109682050009724
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LL,7,e1_pick-place-wall_dev_IID_006_410000006,2026-09-12T10:54:09.361524+00:00,,14.905615949035564,510000006,125,b80ebc920c13679d612c8ecf94df438130aba5835ba33a1fed2775255364d642,IID,2026-09-12T10:53:53.840982+00:00,500,False,False,native_truncated,990848788fd87a8f3f92f73855cb4c66d34dbb528bc7a7a7b842bdf5f1ebdabc,True,True,15.506782764998206
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HH,1,e1_pick-place-wall_dev_IID_007_410000007,2026-09-12T10:54:11.952896+00:00,75,2.3272967190023337,510000007,19,46119a134fb347fb91ddd15253130b2d51091216fda06e755e99e323c34fa47b,IID,2026-09-12T10:54:09.506669+00:00,75,True,False,success,950e035ef203ea771346a81b7a66d306b14b041a52f92a45926ef59cc7cff15c,False,True,2.423979044000589
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LL,273,e1_pick-place-wall_dev_IID_008_410000008,2026-09-12T10:54:28.627033+00:00,,15.887500129039836,510000008,125,c65339f03eec0683a7c1778cafa5f45b09e63d6f6abd69934879fd60509bab6f,IID,2026-09-12T10:54:12.087863+00:00,500,False,False,native_truncated,737a92781237a9dd8dc3c1a67ecb85a619585b7f4a19eab997d7a7211f48959e,True,True,16.524878411000827
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HH,163,e1_pick-place-wall_dev_IID_009_410000009,2026-09-12T10:54:45.188459+00:00,,15.833744983981887,510000009,125,f49681600f3a35866d1bdb8e382895f0a7f0194d9e6d247bc10964664562fc4c,IID,2026-09-12T10:54:28.761013+00:00,500,False,False,native_truncated,ffd7b0c5005317717fdbddd4fa3bec3e7df7722fdfc924d16f23331132fb9431,True,True,16.411700933000247
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,13,e1_pick-place-wall_dev_C_000_410001000,2026-09-12T10:55:01.122824+00:00,,15.211578104983346,510001000,125,b3e715b0f5dcf29b3d8bbf25bdd6ee0b0a9d98269542e0d128e8539e49afc6f2,C,2026-09-12T10:54:45.339729+00:00,500,False,False,native_truncated,22d4b1daae1e5a67dd4054aee6b1232f445425200e82a6c7ae7efc061d548491,True,True,15.768473555999662
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,1,e1_pick-place-wall_dev_C_001_410001001,2026-09-12T10:55:17.696658+00:00,,15.918562061964622,510001001,125,c742315cd2f1f3c2cab22bc6d1121576f34bd9c891be4b7776964200c32a920a,C,2026-09-12T10:55:01.249016+00:00,500,False,False,native_truncated,d1211fdbaf6012996d94cb42d262ad12bab601f020ee1d8efb6f4258d967ddd3,True,True,16.431364496998867
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,145,e1_pick-place-wall_dev_C_002_410001002,2026-09-12T10:55:33.402105+00:00,,14.991387230009423,510001002,125,3943779eb04bb75b5261167d53dc4b255df6cd7fab252d632843ca1b14b22f40,C,2026-09-12T10:55:17.833179+00:00,500,False,False,native_truncated,c50471d9a6a3269685ca52011ff6fcd66f5335d83373b8d3aaa0730b4bcca3c8,True,True,15.554747738002334
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,10,e1_pick-place-wall_dev_C_003_410001003,2026-09-12T10:55:49.346663+00:00,,15.177385528022569,510001003,125,919ed8bd8d8127e0900cab11b0f92e5d246584329ffe72e581f9d4df129b60d4,C,2026-09-12T10:55:33.517999+00:00,500,False,False,native_truncated,bba00a7843d79440f34780bfe2ae7366ada4e6f40a355400d32a6cce4a44aabc,True,True,15.814548846999969
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,16,e1_pick-place-wall_dev_C_004_410001004,2026-09-12T10:55:51.843621+00:00,76,2.2492889650093275,510001004,19,5be491b05ddeed7e19ee59365cccae8806a8116680914232c0a8daaa969f9dbe,C,2026-09-12T10:55:49.477074+00:00,76,True,False,success,e4dc70a7595ffa8127f8f2e75931c45ea713909aaa78c43cf4018c83f096762e,False,True,2.352930003999063
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,72,e1_pick-place-wall_dev_C_005_410001005,2026-09-12T10:56:07.776206+00:00,,15.221196986996802,510001005,125,eb9bae9f53cbc2b8c8666a1a4cbdcae3b423c7fbc2320dec93c622c7dfa66479,C,2026-09-12T10:55:51.974839+00:00,500,False,False,native_truncated,42491a85d6dcab90263b38fd52b4957996935e89ff550dea5326d883bc8ddf10,True,True,15.787814217997948
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,139,e1_pick-place-wall_dev_C_006_410001006,2026-09-12T10:56:23.495392+00:00,,14.95101848899867,510001006,125,5bdc1de10109f8e640827a3aaa3c2ec6e176eb3a9b68831298da78375833d6e1,C,2026-09-12T10:56:07.907781+00:00,500,False,False,native_truncated,d5ce322440f92624d1e78ac19c7fda6d2233d8e92981740f014955bfd41df97e,True,True,15.5739616940009
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,91,e1_pick-place-wall_dev_C_007_410001007,2026-09-12T10:56:39.396360+00:00,,15.074129513981461,510001007,125,d06a857c1dcd9fd9291fbf7485955aa96a9cd6f6eed782542e372b65e0d521f7,C,2026-09-12T10:56:23.623413+00:00,500,False,False,native_truncated,c99135b15298d63956d10d8d57136b8a335a63acfbfabb4a5e1394112d224064,True,True,15.759340527998575
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,120,e1_pick-place-wall_dev_C_008_410001008,2026-09-12T10:56:55.052980+00:00,,14.866633760997502,510001008,125,850e321c503e0eccabb652499bcaefe6abc25a0f39a3ce31c6fff047514ffac8,C,2026-09-12T10:56:39.545174+00:00,500,False,False,native_truncated,9347b1367ce4b886cf23463b667d2d4c442cda688efe2c78aebe3bc408ba4b6d,True,True,15.493960967996827
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,0,e1_pick-place-wall_dev_C_009_410001009,2026-09-12T10:57:11.309769+00:00,,15.517137104983703,510001009,125,de73b5fd07278366d8fb418e24be5831407f215298214d79b798aecb39e928d3,C,2026-09-12T10:56:55.178004+00:00,500,False,False,native_truncated,c2b717e0a267983afbd320dc981a7c68032b4f3ce7f116023d183fb8f4c0f1b5,True,True,16.11800301800031
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,11,e1_pick-place-wall_dev_C_010_410001010,2026-09-12T10:57:27.536177+00:00,,15.58360763501696,510001010,125,90d37b89f6e5877eecb0a8662f6ac284043b5a404050ed2c04ac91ae4baaff11,C,2026-09-12T10:57:11.436588+00:00,500,False,False,native_truncated,5499fa2ed434303f339ad55916767d06e745f2d6873d4d451754208ac5a2321a,True,True,16.086046442000224
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,156,e1_pick-place-wall_dev_C_011_410001011,2026-09-12T10:57:43.460434+00:00,,15.172072421974008,510001011,125,af6c9aecf247e6022e1f53ce110be3d15755aaf2451ce2cded355b293c9118a2,C,2026-09-12T10:57:27.656717+00:00,500,False,False,native_truncated,2b1fd49de838a82994ef8ae9cf94a40a288293033d7ccf85db0a42693461811b,True,True,15.790103641000314
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,181,e1_pick-place-wall_dev_C_012_410001012,2026-09-12T10:57:59.136001+00:00,,14.923879247027799,510001012,125,9cd741fc3cf077c2e18c737e9f68f4229bf71d5f82805e4d819e3aae46662f3d,C,2026-09-12T10:57:43.594739+00:00,500,False,False,native_truncated,4b7c1ea621460b5c871795432f05010f7dff9842666e4772be79c80a79e73f53,True,True,15.525277964999987
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,83,e1_pick-place-wall_dev_C_013_410001013,2026-09-12T10:58:15.022635+00:00,,15.129190553001536,510001013,125,cdaf15b97b456074c84f9dd8441b5282c400ca9118eabcb5feec77592f6fd62c,C,2026-09-12T10:57:59.268143+00:00,500,False,False,native_truncated,8e7307b515524b6ec1080c1a6cd446ee9400f082adf6b9a3a50c2c3bdc3a0a69,True,True,15.740854693998699
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,100,e1_pick-place-wall_dev_C_014_410001014,2026-09-12T10:58:30.871948+00:00,,15.084612993960036,510001014,125,3f131ed8a7201e0adf6f4e38503ee9f48a0c6ac5cf2565d5ec3e5ca2261f51db,C,2026-09-12T10:58:15.155772+00:00,500,False,False,native_truncated,00977729c4a32d539c30389c16b78a749e92269791e6eae0cbe242cbdf3c7eb9,True,True,15.700515735003137
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,81,e1_pick-place-wall_dev_C_015_410001015,2026-09-12T10:58:46.868760+00:00,,15.17668087299171,510001015,125,b9fb4ae60981b3f1dde76d4ba6618aacb9bfb47bc5bb68cb95cbed6bc8482aa9,C,2026-09-12T10:58:30.987807+00:00,500,False,False,native_truncated,c1f52555f0d57711cb1590ef407fa819f927ef60994e3c6c13a8c62109b9f483,True,True,15.867407999001443
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,127,e1_pick-place-wall_dev_C_016_410001016,2026-09-12T10:59:02.727494+00:00,,15.094865704006224,510001016,125,706b61681b045c556d3c50bd633dd486cbcc871899af5a5052487a86dcaba2f1,C,2026-09-12T10:58:47.000436+00:00,500,False,False,native_truncated,0a31d190395476986c12bed0f7740a9cd11013aa532fc6b4d86b5f7d40981f8e,True,True,15.7135818880015
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,72,e1_pick-place-wall_dev_C_017_410001017,2026-09-12T10:59:18.239449+00:00,,14.749642110000423,510001017,125,5837021babaffb49b4669443d169029a4d2a0564a6e84431e022ac9c97b8031d,C,2026-09-12T10:59:02.860499+00:00,500,False,False,native_truncated,af106fb7194924e648ae8eaa2d8be4d0aaa417f674a0cb2ffbe1c7f070a617e9,True,True,15.36513256499893
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,196,e1_pick-place-wall_dev_C_018_410001018,2026-09-12T10:59:34.166077+00:00,,15.13115560796723,510001018,125,9b794e418f9cc67a240ee64b9e3e780b98fe445ab1d86a4d8254bfdf67a3de3b,C,2026-09-12T10:59:18.385260+00:00,500,False,False,native_truncated,0c86f9925ddc52db83115a6690122b357d9546acefaca77259ca3fabea6ca5a4,True,True,15.767073792998417
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,HL,3,e1_pick-place-wall_dev_C_019_410001019,2026-09-12T10:59:50.541379+00:00,,15.614381635004975,510001019,125,e7ec92ca4a28b38151af47b97153b8398d4382197614ba5e6cbda376a857ca25,C,2026-09-12T10:59:34.311528+00:00,500,False,False,native_truncated,5b592820a505c6d2c1d39975588ad35b62c1b2ca04029f5cd2876538beeb7652,True,True,16.216280083997844
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LL,173,e1_pick-place-wall_dev_E_000_410002000,2026-09-12T11:00:06.549057+00:00,,15.329258596004365,510002000,125,923b85ba1f766c1dafa9fa8bc571bb37f8c272902bdcb5edfaecf1d00995a7bf,E,2026-09-12T10:59:50.669974+00:00,500,False,False,native_truncated,33f6c4bc2f2d6e63f66093310bc1b19350d51bc46221ad5a39fe9c0536b15c22,True,True,15.865025680999679
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,dev,LH,53,e1_pick-place-wall_dev_E_001_410002001,2026-09-12T11:00:22.437814+00:00,,15.228481581980304,510002001,125,2767af7d249fe7e18e889d5bd52c53c9e4a0b202ff26c1cb8b67ab59251e0185,E,2026-09-12T11:00:06.674381+00:00,500,False,False,native_truncated,0f946c3a3bd5b6a91869a3d657249235c9307e2a2ae590f35f71b8edcb559918,True,True,15.7486849909983
