instance_id,task,n_demos,system_id,replicate_id,train_seed,state,detail_json,author,candidate_status,submission_hash,training_completed,parameters,train_seconds,optimizer_updates,checkpoint_sha256,latency_ms,dev_completed,dev_IID_success,dev_IID_n,dev_IID_ci_low,dev_IID_ci_high,dev_C_success,dev_C_n,dev_C_ci_low,dev_C_ci_high,dev_E_success,dev_E_n,dev_E_ci_low,dev_E_ci_high,dev_OOD_success,test_completed,test_IID_success,test_IID_n,test_IID_ci_low,test_IID_ci_high,test_C_success,test_C_n,test_C_ci_low,test_C_ci_high,test_E_success,test_E_n,test_E_ci_low,test_E_ci_high,test_OOD_success,dev_OOD_minus_B0_vanilla_dp_pp,dev_OOD_minus_B1_rule_prior_pp,test_OOD_minus_B0_vanilla_dp_pp,test_OOD_minus_B1_rule_prior_pp
pick-place-wall__N2__rep0,pick-place-wall,2,B0_vanilla_dp,0,0,test_evaluated,"{""checkpoint_sha256"":""0161aff76c44e3f9fb40eea2c703b56f8af3699fc43fa734510912cfe5e475a8"",""evaluation_hash"":""2e2bde8f1c9d19b3fef1f5b86c3d5956ba2996ed4fb1cd26bbaded873b4f95f6""}",RepositoryAgent,,,True,4739652,998.3771651126626,20000,0161aff76c44e3f9fb40eea2c703b56f8af3699fc43fa734510912cfe5e475a8,111.04916449949087,True,0.5,10,0.236593090512564,0.7634069094874361,0.05,20,0.008881448800795402,0.23613119344674205,0.0,20,0.0,0.16112515805281938,0.025,True,0.45,20,0.2581978582556243,0.6579146575496577,0.025,40,0.0044268315026814095,0.1288136896347409,0.0,40,0.0,0.08762160119728664,0.0125,0.0,-5.000000000000001,0.0,-11.25
pick-place-wall__N2__rep0,pick-place-wall,2,B1_rule_prior,0,0,test_evaluated,"{""checkpoint_sha256"":""190be16149a39085133b6c269933522bf8901c92622687bf6101aba89d3d92a5"",""evaluation_hash"":""73f6a5a3ecb6b0dffadc6f0aad70bff9181cfede7bd6049ecc950d9c24f4af8b""}",RepositoryAgent,,,True,4970500,1111.0473127525838,20000,190be16149a39085133b6c269933522bf8901c92622687bf6101aba89d3d92a5,117.37070699746255,True,0.8,10,0.49016247153664183,0.9433178485456247,0.05,20,0.008881448800795402,0.23613119344674205,0.1,20,0.027866481213768224,0.3010336452284873,0.07500000000000001,True,0.85,20,0.6395811352592431,0.9476312541037835,0.025,40,0.0044268315026814095,0.1288136896347409,0.225,40,0.12316091323540743,0.37503096742310027,0.125,5.000000000000001,0.0,11.25,0.0
pick-place-wall__N2__rep0,pick-place-wall,2,A1,0,0,test_evaluated,"{""checkpoint_sha256"":""1d95e681b5ef923beb9eccd34f67b2ce6c256a1e6c48087943efd633d2be0d78"",""evaluation_hash"":""3e7cb6376a651d7d02f244a5d7a3b0c9beeb6e3f5bc83079e44c4b85657fb27f""}",RuntimePriorAPI,valid,05f1367ed276f3571c909c2ff594184a0f04cfadf1cdbe8bfd14ca161576f05a,True,4804164,974.3288435731229,20000,1d95e681b5ef923beb9eccd34f67b2ce6c256a1e6c48087943efd633d2be0d78,100.97526100071263,True,0.1,10,0.017876213095072896,0.4041500267952385,0.2,20,0.08065766257979806,0.41601743225189364,0.05,20,0.008881448800795402,0.23613119344674205,0.125,True,0.5,20,0.2992980081982123,0.7007019918017877,0.15000000000000002,40,0.07061187717320358,0.2907232436648971,0.2,40,0.10499989725437704,0.347573063463995,0.17500000000000002,10.0,4.999999999999999,16.25,5.000000000000002
pick-place-wall__N2__rep0,pick-place-wall,2,A2,0,0,test_evaluated,"{""checkpoint_sha256"":""e0a679466f17ca24ed2d8736ea5dff2e1d1749506d9227737dbc536ccfea40b8"",""evaluation_hash"":""3ff81993d64fd24cfd3158de4b6745f095d1c05345b52e4883b45b3910e488b4""}",RuntimePriorAPI,valid,f054fab910f9ff7a0cb6c6942950e99a7ed53d2a64b354bb8344b1d88044b9b0,True,5047876,916.8174219339198,20000,e0a679466f17ca24ed2d8736ea5dff2e1d1749506d9227737dbc536ccfea40b8,113.57194450101815,True,0.8,10,0.49016247153664183,0.9433178485456247,0.85,20,0.6395811352592431,0.9476312541037835,0.8,20,0.5839825677481064,0.919342337420202,0.825,True,0.8,20,0.5839825677481064,0.919342337420202,0.75,40,0.5980603857923197,0.858128813609037,0.8,40,0.652426936536005,0.895000102745623,0.775,80.0,75.0,76.25,65.0
pick-place-wall__N2__rep0,pick-place-wall,2,A3,0,0,test_evaluated,"{""checkpoint_sha256"":""326d41e5efc0f987147e38b03dbe5b810a221033e1c4aa3a810d0094d6d15153"",""evaluation_hash"":""3adbaa12eca3b386eba9a9feb043c56436122721649fa55d236f8e65eedb2960""}",RuntimePriorAPI,valid,485161a29f4ab49980fa94838fcd9aa23286ada989fb441ba1823119a11e945f,True,5333779,1402.5891230810885,20000,326d41e5efc0f987147e38b03dbe5b810a221033e1c4aa3a810d0094d6d15153,201.2016484986816,True,0.4,10,0.16818032970623614,0.6873262302663417,0.45,20,0.2581978582556243,0.6579146575496577,0.05,20,0.008881448800795402,0.23613119344674205,0.25,True,0.5,20,0.2992980081982123,0.7007019918017877,0.35,40,0.2213452887317629,0.5049411916274231,0.025,40,0.0044268315026814095,0.1288136896347409,0.1875,22.5,17.5,17.5,6.25
pick-place-wall__N2__rep0,pick-place-wall,2,A4,0,0,test_evaluated,"{""checkpoint_sha256"":""68672480cc08f28c532114c602d22339f535e22015df32eea1113ff1c923c7f8"",""evaluation_hash"":""2696f76b402e274c80e7cc7524253afd87560c30a7cc405942b2e7d627488ce1""}",RuntimePriorAPI,valid,f223e0d35617ebf96973cb56f9a3c768e8aa1addd70bb057c9921ad45935245f,True,5047876,1413.6575983937219,20000,68672480cc08f28c532114c602d22339f535e22015df32eea1113ff1c923c7f8,189.361333999841,True,0.8,10,0.49016247153664183,0.9433178485456247,0.85,20,0.6395811352592431,0.9476312541037835,0.8,20,0.5839825677481064,0.919342337420202,0.825,True,0.85,20,0.6395811352592431,0.9476312541037835,0.7,40,0.5456998118185507,0.8192515477025347,0.675,40,0.5201774618987768,0.799154977682173,0.6875,80.0,75.0,67.5,56.25
pick-place-wall__N5__rep0,pick-place-wall,5,B0_vanilla_dp,0,0,test_evaluated,"{""checkpoint_sha256"":""8babf8dd05b65f148c2a2209d6a398bb8d0445ed46105a30a86a34919c6bb8b0"",""evaluation_hash"":""55eb493278ba6c14e44813c43085ade752928eb7ad8d9db3c6915bceb0aa616c""}",RepositoryAgent,,,True,4739652,1002.8899050439431,20000,8babf8dd05b65f148c2a2209d6a398bb8d0445ed46105a30a86a34919c6bb8b0,111.35764450045826,True,0.6000000000000001,10,0.31267376973365824,0.8318196702937638,0.4,20,0.21880653237281705,0.6134184992377469,0.0,20,0.0,0.16112515805281938,0.2,True,0.5,20,0.2992980081982123,0.7007019918017877,0.44999999999999996,40,0.3070530781090492,0.6017090820106794,0.05,40,0.013820667386148344,0.16503877369140962,0.24999999999999997,0.0,17.5,0.0,9.999999999999998
pick-place-wall__N5__rep0,pick-place-wall,5,B1_rule_prior,0,0,test_evaluated,"{""checkpoint_sha256"":""263158a6c44209c70b3c2e38afdcdbb1dda6a5985485cfd7dde525d8b264197f"",""evaluation_hash"":""6b214472f763bbdbf558f3286d0c5185f67c987d5d118020fb1ab52f42879799""}",RepositoryAgent,,,True,4970500,1096.309937729333,20000,263158a6c44209c70b3c2e38afdcdbb1dda6a5985485cfd7dde525d8b264197f,168.06204150270787,True,0.7,10,0.39677814746114537,0.8922087325936989,0.0,20,0.0,0.16112515805281938,0.05,20,0.008881448800795402,0.23613119344674205,0.025,True,0.9,20,0.6989663547715128,0.9721335187862319,0.05,40,0.013820667386148344,0.16503877369140962,0.25,40,0.14187118639096302,0.40193961420768026,0.15,-17.5,0.0,-9.999999999999998,0.0
pick-place-wall__N5__rep0,pick-place-wall,5,A1,0,0,test_evaluated,"{""checkpoint_sha256"":""d31d663293e92f6fd81f55bfcc347ce98ff4cc651cbe8fe95cb1995a74b61706"",""evaluation_hash"":""9dbe6ffd44d014c50bd193bfae018fcca1f6c91d5aca9504048757f60b61f1b5""}",RuntimePriorAPI,valid,545c6e7b5d12d1de21e787aaf5147b64294d51272955b57a91cbeedfb01209a2,True,4933188,999.5339195347115,20000,d31d663293e92f6fd81f55bfcc347ce98ff4cc651cbe8fe95cb1995a74b61706,110.19864399713697,True,0.6000000000000001,10,0.31267376973365824,0.8318196702937638,0.44999999999999996,20,0.2581978582556243,0.6579146575496577,0.05,20,0.008881448800795402,0.23613119344674205,0.24999999999999997,True,0.75,20,0.531299122381256,0.8881382985923343,0.4,40,0.2634832568429192,0.5540410633965381,0.175,40,0.0874541374603592,0.31949990331787714,0.2875,4.9999999999999964,22.499999999999996,3.7500000000000004,13.749999999999998
pick-place-wall__N5__rep0,pick-place-wall,5,A2,0,0,test_evaluated,"{""checkpoint_sha256"":""3e52b32d0f401e7e825da4af749dfc5f4d9bbb21c4331e80c4f173b2ebda714a"",""evaluation_hash"":""7138ae73b7eec12c0e7c3b82d0a28c2f15180b669744a35759b5d6d8c8d5e84c""}",RuntimePriorAPI,valid,3b6b668289dee6bb2ad0378f292702b337cc611fc3545eb27a361b76f4aaede6,True,5134388,979.0157636234944,20000,3e52b32d0f401e7e825da4af749dfc5f4d9bbb21c4331e80c4f173b2ebda714a,112.51654899751884,True,0.9,10,0.5958499732047615,0.9821237869049271,0.95,20,0.763868806553258,0.9911185511992047,0.55,20,0.34208534245034233,0.7418021417443759,0.75,True,1.0,20,0.8388748419471806,1.0,0.85,40,0.709276756335103,0.9293881228267964,0.625,40,0.47032439137301096,0.7577702083276673,0.7375,55.00000000000001,72.5,48.75000000000001,58.75
pick-place-wall__N5__rep0,pick-place-wall,5,A3,0,0,test_evaluated,"{""checkpoint_sha256"":""62a5963f7480e2b953ff197f643735165c20e1ee426a6a0fe620815fa3638063"",""evaluation_hash"":""9ce48dda2912284bebee9820853ac92011ae5494f991d0f7b498579e35327618""}",RuntimePriorAPI,valid,a607c9cc051b03cac4a1d59c8d708848333833e9a43657781aa2f6532e59ac68,True,5350611,1367.5094883133133,20000,62a5963f7480e2b953ff197f643735165c20e1ee426a6a0fe620815fa3638063,220.19775999797275,True,0.6,10,0.31267376973365824,0.8318196702937638,0.44999999999999996,20,0.2581978582556243,0.6579146575496577,0.05,20,0.008881448800795402,0.23613119344674205,0.24999999999999997,True,0.65,20,0.43285427668523624,0.818808175898918,0.45,40,0.3070530781090492,0.6017090820106794,0.07500000000000001,40,0.025836025774588198,0.19864233524310543,0.2625,4.9999999999999964,22.499999999999996,1.250000000000004,11.250000000000002
pick-place-wall__N5__rep0,pick-place-wall,5,A4,0,0,test_evaluated,"{""checkpoint_sha256"":""ba92a89df42cdb2a7ee1096543aedaa8bb68e95f349376f27ad58db73a1c7e4e"",""evaluation_hash"":""c6461ed3e035e525bc2e8ea95f99c573b6aa71050cccf548e42d077a8f6eca21""}",RuntimePriorAPI,valid,06b320d8773f2c34f4eab868171e80b54e18c0903684283ab4870a5b390bfbc3,True,5141556,1520.5401213449586,20000,ba92a89df42cdb2a7ee1096543aedaa8bb68e95f349376f27ad58db73a1c7e4e,245.2052629996615,True,0.9,10,0.5958499732047615,0.9821237869049271,0.9,20,0.6989663547715128,0.9721335187862319,0.8,20,0.5839825677481064,0.919342337420202,0.8500000000000001,True,1.0,20,0.8388748419471806,1.0,0.875,40,0.738878801611489,0.945404997490546,0.75,40,0.5980603857923197,0.858128813609037,0.8125,65.00000000000001,82.5,56.25,66.25
pick-place-wall__N10__rep0,pick-place-wall,10,B0_vanilla_dp,0,0,test_evaluated,"{""checkpoint_sha256"":""6ede379f566131fc6838b7856afa47e7a912e9fb14f656e0e9b4576a68942b3f"",""evaluation_hash"":""380a80882d2037daee9361e313c79c45d54a264a03d8a6a3c38298934e695859""}",RepositoryAgent,,,True,4739652,1136.9863445720002,20000,6ede379f566131fc6838b7856afa47e7a912e9fb14f656e0e9b4576a68942b3f,115.81553100040765,True,0.9,10,0.5958499732047615,0.9821237869049271,0.35,20,0.18119182410108206,0.5671457233147638,0.25,20,0.11186170140766569,0.468700877618744,0.3,True,0.95,20,0.763868806553258,0.9911185511992047,0.325,40,0.200845022317827,0.47982253810122333,0.15,40,0.07061187717320358,0.2907232436648971,0.2375,0.0,4.999999999999999,0.0,-2.500000000000002
pick-place-wall__N10__rep0,pick-place-wall,10,B1_rule_prior,0,0,test_evaluated,"{""checkpoint_sha256"":""41eaa549283796e9e0d066626e4f3386a758b1e8084e7092e93646892ca4d024"",""evaluation_hash"":""286ab3c31c3d9e0f4ba277663b9f2c8b9182e72e4946831e1fa4c1a0c2552be2""}",RepositoryAgent,,,True,4970500,1148.20685770188,20000,41eaa549283796e9e0d066626e4f3386a758b1e8084e7092e93646892ca4d024,119.31908499900601,True,1.0,10,0.7224672001371107,0.9999999999999999,0.0,20,0.0,0.16112515805281938,0.5,20,0.2992980081982123,0.7007019918017877,0.25,True,1.0,20,0.8388748419471806,1.0,0.075,40,0.025836025774588198,0.19864233524310543,0.45,40,0.3070530781090492,0.6017090820106794,0.2625,-4.999999999999999,0.0,2.500000000000002,0.0
pick-place-wall__N10__rep0,pick-place-wall,10,A1,0,0,test_evaluated,"{""checkpoint_sha256"":""54212a33a50ba4ce2b2648685951df02d16bc202cbeeb4b4eb003c37cb472081"",""evaluation_hash"":""3bda6f2e60a62da7791f61c42b86af2a7d579d7b717e715d81db29cf92874a35""}",RuntimePriorAPI,valid,bad435b2120ec6d80afb061849765cf7d9cee4096ec56edea66704a004775f1a,True,4875844,978.1569056970038,20000,54212a33a50ba4ce2b2648685951df02d16bc202cbeeb4b4eb003c37cb472081,109.78926499956287,True,1.0,10,0.7224672001371107,0.9999999999999999,0.55,20,0.34208534245034233,0.7418021417443759,0.5,20,0.2992980081982123,0.7007019918017877,0.525,True,1.0,20,0.8388748419471806,1.0,0.575,40,0.42195068541991065,0.7149060744004962,0.5,40,0.35199526933465386,0.6480047306653461,0.5375,22.500000000000004,27.500000000000004,30.0,27.499999999999996
pick-place-wall__N10__rep0,pick-place-wall,10,A2,0,0,test_evaluated,"{""checkpoint_sha256"":""454d9060e1ee544e0b44d315c1368d9043b889fefc77468bae971789c3b4d125"",""evaluation_hash"":""be72bef897bd59ea4bb19d31ed2307382b3ea19f3f5dfbcc48062d977c4c1457""}",RuntimePriorAPI,valid,56b3cdc453352cb8e75a611d441699755e4e1bc742b8042dff05c82e45f144d4,True,5453575,970.5325332037173,20000,454d9060e1ee544e0b44d315c1368d9043b889fefc77468bae971789c3b4d125,106.57496050043846,True,1.0,10,0.7224672001371107,0.9999999999999999,0.9,20,0.6989663547715128,0.9721335187862319,0.9,20,0.6989663547715128,0.9721335187862319,0.9,True,1.0,20,0.8388748419471806,1.0,0.875,40,0.738878801611489,0.945404997490546,0.875,40,0.738878801611489,0.945404997490546,0.875,60.00000000000001,65.0,63.74999999999999,61.25000000000001
pick-place-wall__N10__rep0,pick-place-wall,10,A3,0,0,test_evaluated,"{""checkpoint_sha256"":""cd547ee7247a4356827ca11199ef02b00586eaf1bf4ea3c9bbb09cbbe68d34fd"",""evaluation_hash"":""71224fe578428bbdd88ee985a3cb6b2d0a35d23363c37d594d78fa4b51fd8eac""}",RuntimePriorAPI,valid,2a892bde2f598380e3eca5bba6210bba27d339e8a92762122ce38e75bfe25be8,True,4902736,1277.280059568082,20000,cd547ee7247a4356827ca11199ef02b00586eaf1bf4ea3c9bbb09cbbe68d34fd,190.99946099959197,True,1.0,10,0.7224672001371107,0.9999999999999999,0.9,20,0.6989663547715128,0.9721335187862319,0.6499999999999999,20,0.43285427668523624,0.818808175898918,0.7749999999999999,True,1.0,20,0.8388748419471806,1.0,0.85,40,0.709276756335103,0.9293881228267964,0.75,40,0.5980603857923197,0.858128813609037,0.8,47.49999999999999,52.49999999999999,56.25,53.75000000000001
