instance_id,task,n_demos,selections_frozen,q1_candidate,q1_selection_verified,q1_api_noncompliant,q3_candidate,q3_selection_verified,q3_api_noncompliant,q4_candidate,q4_selection_verified,q4_api_noncompliant,B0_vanilla_dp_dev_IID,B0_vanilla_dp_dev_C,B0_vanilla_dp_dev_E,B0_vanilla_dp_dev_OOD,B0_vanilla_dp_test_IID,B0_vanilla_dp_test_C,B0_vanilla_dp_test_E,B0_vanilla_dp_test_OOD,B1_rule_prior_dev_IID,B1_rule_prior_dev_C,B1_rule_prior_dev_E,B1_rule_prior_dev_OOD,B1_rule_prior_test_IID,B1_rule_prior_test_C,B1_rule_prior_test_E,B1_rule_prior_test_OOD,API_q1_dev_IID,API_q1_dev_C,API_q1_dev_E,API_q1_dev_OOD,API_q1_test_IID,API_q1_test_C,API_q1_test_E,API_q1_test_OOD,API_q3_dev_IID,API_q3_dev_C,API_q3_dev_E,API_q3_dev_OOD,API_q3_test_IID,API_q3_test_C,API_q3_test_E,API_q3_test_OOD,API_q4_dev_IID,API_q4_dev_C,API_q4_dev_E,API_q4_dev_OOD,API_q4_test_IID,API_q4_test_C,API_q4_test_E,API_q4_test_OOD,A4_selected,q4_minus_q3_dev_OOD_pp,q1_minus_B0_vanilla_dp_dev_OOD_pp,q1_minus_B1_rule_prior_dev_OOD_pp,q3_minus_B0_vanilla_dp_dev_OOD_pp,q3_minus_B1_rule_prior_dev_OOD_pp,q4_minus_B0_vanilla_dp_dev_OOD_pp,q4_minus_B1_rule_prior_dev_OOD_pp,q4_minus_q3_test_OOD_pp,q1_minus_B0_vanilla_dp_test_OOD_pp,q1_minus_B1_rule_prior_test_OOD_pp,q3_minus_B0_vanilla_dp_test_OOD_pp,q3_minus_B1_rule_prior_test_OOD_pp,q4_minus_B0_vanilla_dp_test_OOD_pp,q4_minus_B1_rule_prior_test_OOD_pp
pick-place-wall__N2__rep0,pick-place-wall,2,True,A1,True,,A2,True,False,A2,True,False,0.5,0.05,0.0,0.025,0.45,0.025,0.0,0.0125,0.8,0.05,0.1,0.07500000000000001,0.85,0.025,0.225,0.125,0.1,0.2,0.05,0.125,0.5,0.15000000000000002,0.2,0.17500000000000002,0.8,0.85,0.8,0.825,0.8,0.75,0.8,0.775,0.8,0.85,0.8,0.825,0.8,0.75,0.8,0.775,False,0.0,10.0,4.999999999999999,80.0,75.0,80.0,75.0,0.0,16.25,5.000000000000002,76.25,65.0,76.25,65.0
pick-place-wall__N5__rep0,pick-place-wall,5,True,A1,True,,A2,True,False,A4,True,False,0.6000000000000001,0.4,0.0,0.2,0.5,0.44999999999999996,0.05,0.24999999999999997,0.7,0.0,0.05,0.025,0.9,0.05,0.25,0.15,0.6000000000000001,0.44999999999999996,0.05,0.24999999999999997,0.75,0.4,0.175,0.2875,0.9,0.95,0.55,0.75,1.0,0.85,0.625,0.7375,0.9,0.9,0.8,0.8500000000000001,1.0,0.875,0.75,0.8125,True,10.000000000000009,4.9999999999999964,22.499999999999996,55.00000000000001,72.5,65.00000000000001,82.5,7.499999999999996,3.7500000000000004,13.749999999999998,48.75000000000001,58.75,56.25,66.25
pick-place-wall__N10__rep0,pick-place-wall,10,True,A1,True,,A2,True,False,A4,True,False,0.9,0.35,0.25,0.3,0.95,0.325,0.15,0.2375,1.0,0.0,0.5,0.25,1.0,0.075,0.45,0.2625,1.0,0.55,0.5,0.525,1.0,0.575,0.5,0.5375,1.0,0.9,0.9,0.9,1.0,0.875,0.875,0.875,1.0,0.9,0.95,0.925,1.0,0.85,0.9,0.875,True,2.500000000000002,22.500000000000004,27.500000000000004,60.00000000000001,65.0,62.5,67.5,0.0,30.0,27.499999999999996,63.74999999999999,61.25000000000001,63.74999999999999,61.25000000000001
pick-place-wall__N20__rep0,pick-place-wall,20,True,A1,True,,A3,True,False,A3,True,False,1.0,0.5,0.35,0.425,1.0,0.525,0.175,0.35,1.0,0.0,0.5,0.25,1.0,0.075,0.45,0.2625,1.0,0.95,0.5,0.725,1.0,0.85,0.525,0.6875,1.0,0.9,0.8999999999999999,0.8999999999999999,1.0,0.875,0.9,0.8875,1.0,0.9,0.8999999999999999,0.8999999999999999,1.0,0.875,0.9,0.8875,False,0.0,30.0,47.5,47.49999999999999,64.99999999999999,47.49999999999999,64.99999999999999,0.0,33.75,42.5,53.75,62.5,53.75,62.5
assembly__N2__rep0,assembly,2,True,A1,True,,A2,True,False,A4,True,False,0.8,0.1,0.1,0.1,0.65,0.2,0.15000000000000002,0.17500000000000002,0.7,0.25,0.0,0.125,0.6,0.35,0.125,0.2375,0.8,0.5,0.25,0.375,0.55,0.425,0.25,0.3375,0.8,0.5,0.5,0.5,0.65,0.5,0.5,0.5,1.0,1.0,0.45,0.725,1.0,1.0,0.45,0.725,True,22.499999999999996,27.500000000000004,25.0,40.0,37.5,62.5,60.0,22.499999999999996,16.25,10.000000000000004,32.49999999999999,26.25,54.99999999999999,48.75
assembly__N5__rep0,assembly,5,True,A1,True,,A2,True,False,A4,True,False,0.9,0.0,0.0,0.0,0.5,0.025,0.1,0.0625,0.9,0.15,0.2,0.175,0.7,0.1,0.175,0.1375,1.0,0.5,0.25,0.375,1.0,0.5,0.3,0.4,1.0,0.6,0.25,0.425,1.0,0.525,0.3,0.4125,1.0,1.0,0.8500000000000001,0.925,1.0,1.0,0.875,0.9375,True,50.0,37.5,20.0,42.5,25.0,92.5,75.0,52.5,33.75,26.25,35.0,27.499999999999996,87.5,80.0
assembly__N10__rep0,assembly,10,True,A1,True,,A2,True,False,A4,True,False,1.0,0.0,0.25,0.125,1.0,0.0,0.3,0.15,1.0,0.45,0.25,0.35,1.0,0.475,0.2,0.3375,1.0,0.5,0.25,0.375,1.0,0.5,0.25,0.375,1.0,0.6000000000000001,0.35,0.47500000000000003,1.0,0.7749999999999999,0.325,0.5499999999999999,1.0,1.0,0.45,0.725,1.0,1.0,0.45,0.725,True,24.999999999999993,25.0,2.500000000000002,35.0,12.500000000000005,60.0,37.5,17.500000000000004,22.5,3.749999999999998,39.99999999999999,21.249999999999993,57.49999999999999,38.74999999999999
assembly__N20__rep0,assembly,20,True,A1,True,,A2,True,False,A4,True,False,1.0,0.05,0.25,0.15,1.0,0.125,0.2,0.1625,1.0,0.45,0.25,0.35,1.0,0.5,0.225,0.3625,1.0,0.7,0.25,0.475,1.0,0.9,0.3,0.6,1.0,1.0,0.5,0.75,1.0,0.975,0.5,0.7375,1.0,1.0,0.65,0.825,1.0,1.0,0.675,0.8375,True,7.499999999999996,32.49999999999999,12.5,60.0,40.0,67.5,47.5,9.999999999999998,43.75,23.75,57.50000000000001,37.50000000000001,67.5,47.5
drawer__N2__rep0,drawer,2,True,A1,True,,A1,True,False,A4,True,False,0.8,0.55,0.0,0.275,0.75,0.525,0.0,0.2625,0.9,0.6499999999999999,0.0,0.32499999999999996,1.0,0.7,0.0,0.35,1.0,1.0,0.6,0.8,1.0,1.0,0.5,0.75,1.0,1.0,0.6,0.8,1.0,1.0,0.5,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,True,19.999999999999996,52.5,47.50000000000001,52.5,47.50000000000001,72.5,67.5,25.0,48.75,40.0,48.75,40.0,73.75,65.0
drawer__N5__rep0,drawer,5,True,A1,True,,A3,True,False,A4,True,False,1.0,0.7,0.0,0.35,1.0,0.675,0.0,0.3375,1.0,1.0,0.0,0.5,1.0,0.975,0.0,0.4875,1.0,1.0,0.25,0.625,1.0,1.0,0.25,0.625,1.0,1.0,0.75,0.875,1.0,1.0,0.725,0.8625,1.0,1.0,1.0,1.0,1.0,1.0,0.975,0.9875,True,12.5,27.500000000000004,12.5,52.5,37.5,65.0,50.0,12.5,28.749999999999996,13.750000000000002,52.5,37.50000000000001,65.0,50.0
