instance_id,task,n_demos,q3_candidate,q4_candidate,A4_selected,q4_minus_q3_dev_OOD_pp,q4_minus_q3_test_OOD_pp
pick-place-wall__N2__rep0,pick-place-wall,2,A2,A2,False,0.0,0.0
pick-place-wall__N5__rep0,pick-place-wall,5,A2,A4,True,10.000000000000009,7.499999999999996
pick-place-wall__N10__rep0,pick-place-wall,10,A2,A4,True,2.500000000000002,0.0
pick-place-wall__N20__rep0,pick-place-wall,20,A3,A3,False,0.0,0.0
assembly__N2__rep0,assembly,2,A2,A4,True,22.499999999999996,22.499999999999996
assembly__N5__rep0,assembly,5,A2,A4,True,50.0,52.5
assembly__N10__rep0,assembly,10,A2,A4,True,24.999999999999993,17.500000000000004
assembly__N20__rep0,assembly,20,A2,A4,True,7.499999999999996,9.999999999999998
drawer__N2__rep0,drawer,2,A1,A4,True,19.999999999999996,25.0
drawer__N5__rep0,drawer,5,A3,A4,True,12.5,12.5
drawer__N10__rep0,drawer,10,A3,A4,True,0.0,0.0
drawer__N20__rep0,drawer,20,A3,A4,True,9.999999999999998,11.249999999999993
door__N2__rep0,door,2,A1,A1,False,0.0,0.0
door__N5__rep0,door,5,A1,A4,True,0.0,0.0
door__N10__rep0,door,10,A1,A1,False,0.0,0.0
door__N20__rep0,door,20,A1,A4,True,0.0,-3.749999999999998
peg-insert-side__N2__rep0,peg-insert-side,2,A3,A4,True,7.499999999999996,9.999999999999998
peg-insert-side__N5__rep0,peg-insert-side,5,A3,A4,True,2.500000000000002,0.0
peg-insert-side__N10__rep0,peg-insert-side,10,A3,A3,False,0.0,0.0
peg-insert-side__N20__rep0,peg-insert-side,20,A3,A4,True,2.500000000000002,7.500000000000007
stick-push__N2__rep0,stick-push,2,A2,A2,False,0.0,0.0
stick-push__N5__rep0,stick-push,5,A1,A1,False,0.0,0.0
stick-push__N10__rep0,stick-push,10,A1,A1,False,0.0,0.0
stick-push__N20__rep0,stick-push,20,A1,A1,False,0.0,0.0
